infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,date,expName,psychopyVersion,OS,frameRate,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,71.454,space,71.4313,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,71.4541,113.3396,space,41.8653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,113.3511,115.8089,space,2.4452,,115.8125,1,116.8098,116.8098,119.3124,left,1,2.4888,,119.3125,120.313,0,0,0,1,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,120.3133,0.9,121.2136,121.2136,124.4162,right,1,3.1989,,124.4163,125.4174,0,1,1,4,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,125.4255,1.1,126.5182,126.5182,130.0538,left,0,3.5347,,130.0539,131.0556,0,2,2,14,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,131.0641,0.6,131.6558,131.6558,132.6728,right,0,1.0073,,132.6728,133.6743,0,3,3,8,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,133.6746,1.2,134.8747,134.8747,136.6268,right,1,1.749,,136.6269,137.6269,0,4,4,15,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,137.6349,0.6,138.2281,138.2281,139.7968,left,1,1.5614,,139.7968,140.7971,0,5,5,0,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,140.7974,1,141.7982,141.7982,143.8994,left,1,2.089,,143.8995,144.901,0,6,6,2,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,144.9013,0.7,145.6015,145.6016,146.8028,right,0,1.194,,146.8028,147.8034,0,7,7,9,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,147.8037,0.7,148.5036,148.5036,149.8717,left,1,1.356,,149.8718,150.8728,0,8,8,3,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,150.8731,1.1,151.9733,151.9733,153.4417,left,0,1.4556,,153.4417,154.4422,0,9,9,12,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,154.4425,1,155.4435,155.4435,157.0116,left,0,1.5559,,157.0117,158.0121,0,10,10,7,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,158.0124,1.2,159.2122,159.2123,160.7142,left,0,1.491,,160.7144,161.7154,0,11,11,5,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,262721,001,30,male,Dutch,2024-02-21_19h59.55.055,CategoryRev1_within,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,161.7235,0.8,162.5162,162.5163,164.1834,left,1,1.6639,,164.1834,165.1846,0,12,12,10,1,partial,1,images/Ex11.jpg,left,,,,,
