"participant","first","difficulty","set","1-total-reversed","2-total-reversed","3-total-reversed","4-total-reversed","5-total-reversed","6-total-reversed","7-total-reversed","8-total-reversed","9-total-reversed","10-total-reversed","11-total-reversed","12-total-reversed","1-partial-reversed","2-partial-reversed","3-partial-reversed","4-partial-reversed","5-partial-reversed","6-partial-reversed","7-partial-reversed","8-partial-reversed","9-partial-reversed","10-partial-reversed","11-partial-reversed","12-partial-reversed","1-partial-nonreversed","2-partial-nonreversed","3-partial-nonreversed","4-partial-nonreversed","5-partial-nonreversed","6-partial-nonreversed","7-partial-nonreversed","8-partial-nonreversed","9-partial-nonreversed","10-partial-nonreversed","11-partial-nonreversed","12-partial-nonreversed"
"56b8de29e1d0a200051517f8","first-partial","easy",4,0.375,0.875,0.625,1,1,1,0.375,1,0.75,1,0.875,0.875,0.5,0.25,1,1,1,1,0,0,0.75,0.75,1,1,0.5,0.75,0.5,1,1,1,0.75,1,0.75,0.75,1,1
"57a78015454e5400015f57ec","first-partial","easy",2,0,0.625,0.75,0.75,0.75,0.75,0.375,0.5,0.625,0.375,0.625,0.625,0.25,0.75,1,0.75,0.5,1,0.25,1,0.75,0.75,1,1,0.75,0.5,0.75,0.25,0.5,0.5,0.333333333333333,0.75,0.5,0.25,0.75,1
"59ae8d282a78fd00010b80e7","first-total","easy",7,0.875,0.75,0.875,0.875,0.875,0.875,0.625,0.625,0.5,1,0.875,0.75,0.5,0.75,1,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.75,1,0.5,0.75,0.75,0.75,0.25,0.5,0.75,1,1,0.75
"59ccd702faf42e00012b68f5","first-partial","easy",3,0.625,1,1,0.75,1,1,0.5,1,0.875,0.75,0.875,0.875,0.5,1,1,1,0.75,0.75,0,1,1,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1
"5c3d5129a9bfb4000168e299","first-total","easy",1,0.285714285714286,0.75,0.625,0.875,0.714285714285714,0.75,0.25,0.5,0.75,0.875,1,0.75,0.75,1,1,0.75,0.5,1,0.5,1,0.75,0.75,0.75,1,1,1,0.25,1,0.75,0.75,0.25,0.75,0.75,1,1,0.75
"5c4d8d706b23ab0001a34af2","first-total","easy",8,0.5,0.625,0.75,0.75,0.5,0.625,0.625,0.25,0.5,0.625,0.875,0.875,0.5,0.75,0.75,0.75,0.25,0.75,0,0.75,0.75,0.75,0.75,0.5,1,0.5,1,1,1,1,1,1,1,0.75,1,1
"5c4f5967aac8be0001716a65","first-partial","easy",4,0.625,1,1,1,0.875,0.875,0.375,1,0.875,0.875,0.875,0.75,0.75,1,1,1,1,1,0,0.25,0.75,0.75,0.75,1,0.75,1,1,1,1,1,0.75,1,1,1,1,0.75
"5ce9b0e4be5a6b00163f6870","first-partial","easy",3,0.75,0.625,0.875,0.75,0.875,0.75,0.375,0.125,0.75,0.5,0.5,0.875,0.25,1,0.25,1,0.75,0.75,0.25,0,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0,0.75,0.75,0.25,0.5,0.25,0.5,0.75
"5d49d17b3dad1f0001e2aba1","first-total","easy",5,0.25,0.625,0.375,0.875,0.875,0.75,0.375,0.75,1,0.875,0.75,1,0.5,1,1,1,0.75,1,0,0.75,1,1,1,1,0.75,0.75,0.75,1,1,1,0.25,0.5,1,1,1,0.75
"5d6ad36076cca6001a66d89e","first-total","easy",2,0.428571428571429,0.875,0.5,0.25,0.625,0.875,0.25,1,0.875,0.875,1,1,0.5,0.5,1,0.75,1,1,0.75,1,1,0.75,1,1,1,0.75,0.75,1,1,1,0.5,1,1,1,1,1
