infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,6.909,space,6.886,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,6.909,54.834,space,47.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,54.846,58.167,space,3.306,,58.176,1,59.167,59.167,60.221,left,0,1.047,,60.222,61.221,0,0,0,6,1,partial,1,images/Ex4.jpg,right,training,easy,4,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,61.223,0.6,61.821,61.821,62.755,left,0,0.923,,62.755,63.754,0,1,1,4,1,partial,1,images/Ex3.jpg,right,training,easy,4,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,63.755,1.1,64.849,64.849,65.622,left,1,0.763,,65.623,66.622,0,2,2,3,1,partial,1,images/Ex2.jpg,left,training,easy,4,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,66.623,0.8,67.423,67.423,68.369,right,0,0.941,,68.369,69.37,0,3,3,1,1,partial,1,images/Ex1.jpg,left,training,easy,4,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,69.371,0.7,70.064,70.064,70.944,left,1,0.869,,70.944,71.945,0,4,4,0,1,partial,1,images/Ex1.jpg,left,training,easy,4,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,71.945,0.8,72.745,72.745,73.452,right,1,0.704,,73.452,74.452,0,5,5,7,1,partial,1,images/Ex4.jpg,right,training,easy,4,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,74.452,0.6,75.052,75.052,75.839,right,0,0.774,,75.839,76.84,0,6,6,2,1,partial,1,images/Ex2.jpg,left,training,easy,4,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,76.841,0.8,77.64,77.64,78.454,right,1,0.809,,78.454,79.454,0,7,7,5,1,partial,1,images/Ex3.jpg,right,training,easy,4,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,79.454,0.8,80.254,80.254,81.054,right,0,0.794,,81.054,82.055,1,0,8,2,1,partial,1,images/Ex2.jpg,left,training,easy,4,,,,,
,,,,,56b8de29e1d0a200051517f8,001,42,female,American,Bachelor,2024-02-26_12h19.31.181,CRL1e,2023.2.3,MacIntel,76.92307692,65dbad3905fde4fe1981dc61,65dcc80629fb92e03946a6c4,,,,,,,,,,,82.056,0.6,82.655,82.655,83.415,right,1,0.747,,83.415,84.418,1,1,9,6,1,partial,1,images/Ex4.jpg,right,training,easy,4,,,,,
