infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0004,35.4318,space,35.3996,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,35.4325,95.7311,space,60.2652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,,,,,,95.7419,100.3478,space,4.5833,,100.3637,0.7,101.0638,101.064,109.0536,left,1,7.9784,,109.0709,110.0472,0,0,0,1,1,total,1,images/Ex5.jpg,left,training,easy,4,,,,,
,,,,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,,,,,,,,,,,110.0481,1.5,111.5475,111.5475,112.9811,left,1,1.4279,,112.9811,113.9804,0,1,1,0,1,total,1,images/Ex5.jpg,left,training,easy,4,,,,,
,,,,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,,,,,,,,,,,113.9809,1.3,115.2803,115.2803,117.2597,right,1,1.9774,,117.2598,118.2479,0,2,2,7,1,total,1,images/Ex8.jpg,right,training,easy,4,,,,,
,,,,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,,,,,,,,,,,118.2493,0.7,118.9474,118.9475,120.4771,right,0,1.5267,,120.4771,121.4808,0,3,3,2,1,total,1,images/Ex6.jpg,left,training,easy,4,,,,,
,,,,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,,,,,,,,,,,121.488,1.4,122.8808,122.8808,124.0936,left,0,1.2112,,124.0937,125.097,0,4,4,5,1,total,1,images/Ex7.jpg,right,training,easy,4,,,,,
,,,,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,,,,,,,,,,,125.0974,0.7,125.7969,125.7969,127.9479,right,1,2.1434,,127.948,128.9473,0,5,5,6,1,total,1,images/Ex8.jpg,right,training,easy,4,,,,,
,,,,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,,,,,,,,,,,128.948,1.1,130.0478,130.0478,132.5085,right,1,2.458,,132.5086,133.4975,0,6,6,4,1,total,1,images/Ex7.jpg,right,training,easy,4,,,,,
,,,,,5d8cb1c93a7d5c00196eae92,001,47,Male,British,BA,2024-02-26_17h22.08.261,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcc8074855325f246a7b57,,,,,,,,,,,133.5078,0.9,134.3987,134.3988,135.7815,right,0,1.374,,135.7817,136.7807,0,7,7,3,1,total,1,images/Ex6.jpg,left,training,easy,4,,,,,
