infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
1E-04,9.0517,space,9.0414,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,9.0519,39.8902,space,30.8275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,,,,,,39.8986,41.9986,space,2.0894,,42.0021,0.6,42.6024,42.6024,46.0412,left,0,3.4337,,46.047,47.0403,0,0,0,7,1,total,1,images/Ex12.jpg,right,training,easy,5,,,,,
,,,,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,,,,,,,,,,,47.0408,1.2,48.236,48.2361,49.2739,right,1,1.0351,,49.274,50.2735,0,1,1,6,1,total,1,images/Ex12.jpg,right,training,easy,5,,,,,
,,,,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,,,,,,,,,,,50.2738,1.1,51.3731,51.3731,52.5896,right,0,1.2103,,52.5896,53.5901,0,2,2,0,1,total,1,images/Ex9.jpg,left,training,easy,5,,,,,
,,,,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,,,,,,,,,,,53.5903,1,54.59,54.59,56.1174,right,0,1.5266,,56.1175,57.1186,0,3,3,3,1,total,1,images/Ex10.jpg,left,training,easy,5,,,,,
,,,,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,,,,,,,,,,,57.119,0.7,57.818,57.818,58.4317,left,1,0.6129,,58.4317,59.4317,0,4,4,1,1,total,1,images/Ex9.jpg,left,training,easy,5,,,,,
,,,,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,,,,,,,,,,,59.4322,1.1,60.5314,60.5314,61.2181,left,1,0.6855,,61.2182,62.2153,0,5,5,2,1,total,1,images/Ex10.jpg,left,training,easy,5,,,,,
,,,,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,,,,,,,,,,,62.2157,0.9,63.1153,63.1153,64.0084,right,1,0.8924,,64.0085,65.0071,0,6,6,5,1,total,1,images/Ex11.jpg,right,training,easy,5,,,,,
,,,,,5e63e24eaf3bd51660031dbe,001,38,Male,US,Associates,2024-02-26_11h52.41.614,CRL1e,2023.2.3,Win32,119.047619,65dbad3905fde4fe1981dc61,65dccf745f40f0724e7a610a,,,,,,,,,,,65.0076,1.2,66.211,66.211,66.7316,right,1,0.5155,,66.7316,67.7318,0,7,7,4,1,total,1,images/Ex11.jpg,right,training,easy,5,,,,,
