infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,1623.85,space,1623.748,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,1623.85,1625.961,space,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,,,,,,1625.971,1629.429,space,3.443,,1629.435,1.2,1630.629,1630.629,1636.128,right,1,5.488,,1636.129,1637.129,0,0,0,7,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,,,,,,,,,,,1637.132,1.2,1638.329,1638.329,1639.663,left,0,1.32,,1639.663,1640.661,0,1,1,4,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,,,,,,,,,,,1640.662,0.9,1641.562,1641.562,1641.929,right,1,0.361,,1641.929,1642.929,0,2,2,5,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,,,,,,,,,,,1642.93,1.4,1644.329,1644.329,1644.729,left,1,0.387,,1644.729,1645.729,0,3,3,1,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,,,,,,,,,,,1645.73,0.9,1646.629,1646.629,1646.929,left,1,0.294,,1646.929,1647.929,0,4,4,2,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
,,,,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,,,,,,,,,,,1647.93,0.9,1648.829,1648.829,1649.096,right,1,0.254,,1649.096,1650.096,0,5,5,6,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,,,,,,,,,,,1650.097,0.7,1650.795,1650.795,1651.078,left,1,0.268,,1651.078,1652.081,0,6,6,0,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,5f262b3018c68e27aebdd170,001,,,,,2024-02-26_16h26.16.218,CRL1e,2023.2.3,MacIntel,58.82352941,65dbad3905fde4fe1981dc61,65dcba485744a02a9046a211,,,,,,,,,,,1652.082,0.7,1652.779,1652.779,1653.046,left,1,0.254,,1653.046,1654.045,0,7,7,3,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
