infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0005,3.2833,space,3.2124,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,3.2837,31.9235,space,28.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,,,,,,31.9298,34.7929,space,2.8408,,34.8005,0.5,35.293,35.2932,41.3159,left,1,6.0118,,41.3166,42.3156,0,0,0,3,1,partial,1,images/Ex6.jpg,left,training,easy,1,,,,,
,,,,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,,,,,,,,,,,42.3167,1.4,43.7164,43.7165,45.2678,right,0,1.544,,45.2679,46.2685,0,1,1,1,1,partial,1,images/Ex5.jpg,left,training,easy,1,,,,,
,,,,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,,,,,,,,,,,46.2691,0.8,47.069,47.069,48.2538,right,1,1.1777,,48.2538,49.2543,0,2,2,5,1,partial,1,images/Ex7.jpg,right,training,easy,1,,,,,
,,,,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,,,,,,,,,,,49.2548,0.8,50.055,50.0551,50.8057,left,1,0.7422,,50.8057,51.8065,0,3,3,2,1,partial,1,images/Ex6.jpg,left,training,easy,1,,,,,
,,,,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,,,,,,,,,,,51.8071,0.8,52.6075,52.6077,53.5581,right,0,0.9454,,53.5582,54.5632,0,4,4,0,1,partial,1,images/Ex5.jpg,left,training,easy,1,,,,,
,,,,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,,,,,,,,,,,54.5636,0.8,55.3604,55.3605,56.3271,right,1,0.9619,,56.3274,57.3277,0,5,5,4,1,partial,1,images/Ex7.jpg,right,training,easy,1,,,,,
,,,,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,,,,,,,,,,,57.3281,1,58.3286,58.3287,58.8961,left,0,0.5632,,58.8961,59.8968,0,6,6,6,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
,,,,,629e1422d8de28b42ae1a214,001,,,,,2024-02-25_21h15.58.704,CRL1e,2023.2.3,Linux x86_64,59.88023952,65dbad3905fde4fe1981dc61,65dbae047ec91fe17a7148d3,,,,,,,,,,,59.8974,0.6,60.4973,60.4974,61.2644,right,1,0.7633,,61.2645,62.2652,0,7,7,7,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
