infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,10.1515,space,10.1402,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,10.1526,35.5291,space,25.3432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,35.5686,38.1598,space,2.5751,,38.172,1.4,39.576,39.5763,96.7087,right,1,57.1032,,96.7362,97.7058,0,0,0,6,1,partial,1,images/Ex16.jpg,right,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,97.7069,1.3,99.0062,99.0063,113.6896,right,1,14.672,,113.6897,114.6893,0,1,1,7,1,partial,1,images/Ex16.jpg,right,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,114.6906,0.7,115.3889,115.389,115.4719,left,1,0.0706,,115.4719,116.4722,0,2,2,3,1,partial,1,images/Ex14.jpg,left,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,116.4731,0.8,117.2723,117.2724,117.738,left,0,0.4528,,117.738,118.7381,0,3,3,4,1,partial,1,images/Ex15.jpg,right,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,118.7386,1.4,120.1391,120.1392,120.6722,right,0,0.5282,,120.6725,121.672,0,4,4,1,1,partial,1,images/Ex13.jpg,left,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,121.6729,1,122.671,122.671,123.7047,left,0,1.0218,,123.7047,124.7047,0,5,5,5,1,partial,1,images/Ex15.jpg,right,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,124.7054,0.7,125.4048,125.4049,126.0721,right,0,0.6557,,126.0723,127.0717,0,6,6,2,1,partial,1,images/Ex14.jpg,left,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,127.073,0.5,127.5717,127.5718,127.9049,right,0,0.3282,,127.905,128.9049,0,7,7,0,1,partial,1,images/Ex13.jpg,left,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,128.906,1.2,130.1048,130.1049,130.405,left,0,0.2933,,130.405,131.4046,1,0,8,6,1,partial,1,images/Ex16.jpg,right,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,131.4057,1.4,132.8046,132.8046,133.0553,left,1,0.2395,,133.0554,134.0548,1,1,9,1,1,partial,1,images/Ex13.jpg,left,training,easy,6,,,,,
,,,,,644cdee223c4b93bf46c7301,001,30,male,nigerian,msc,2024-02-26_19h16.50.990,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcd565f40fd5cad9b7b5a5,,,,,,,,,,,134.0557,0.6,134.6547,134.6553,135.1719,right,0,0.5063,,135.172,136.1715,1,2,10,0,1,partial,1,images/Ex13.jpg,left,training,easy,6,,,,,
