infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,20.1775,space,20.1623,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,20.1776,60.807,space,40.6184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,,,,,,60.8269,65.2548,space,4.4125,,65.2744,0.6,65.8712,65.8715,68.7377,right,0,2.8533,,68.738,69.7388,0,0,0,2,1,partial,1,images/Ex14.jpg,left,training,easy,6,,,,,
,,,,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,,,,,,,,,,,69.7399,1.1,70.8387,70.8388,71.8548,right,1,1.0093,,71.8548,72.8555,0,1,1,7,1,partial,1,images/Ex16.jpg,right,training,easy,6,,,,,
,,,,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,,,,,,,,,,,72.8564,1.5,74.3554,74.3555,75.372,right,0,1.0074,,75.3721,76.3725,0,2,2,1,1,partial,1,images/Ex13.jpg,left,training,easy,6,,,,,
,,,,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,,,,,,,,,,,76.3735,1.4,77.772,77.772,78.7889,left,0,1.0064,,78.7889,79.7888,0,3,3,4,1,partial,1,images/Ex15.jpg,right,training,easy,6,,,,,
,,,,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,,,,,,,,,,,79.7897,1,80.7888,80.7889,81.5717,left,0,0.7776,,81.5717,82.5718,0,4,4,5,1,partial,1,images/Ex15.jpg,right,training,easy,6,,,,,
,,,,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,,,,,,,,,,,82.5726,0.7,83.272,83.2721,84.4053,left,1,1.1228,,84.4054,85.4058,0,5,5,0,1,partial,1,images/Ex13.jpg,left,training,easy,6,,,,,
,,,,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,,,,,,,,,,,85.4067,0.5,85.9057,85.9057,87.5721,left,1,1.6564,,87.5722,88.5718,0,6,6,3,1,partial,1,images/Ex14.jpg,left,training,easy,6,,,,,
,,,,,646e53ef6c1dac9a13cd2985,001,48,F,British,Undergraduate Degree,2024-02-26_18h21.19.737,CRL1e,2023.2.3,MacIntel,60.0024001,65dbad3905fde4fe1981dc61,65dcd565e7c4e5fb9b04a285,,,,,,,,,,,88.5725,1.5,90.0719,90.0719,92.2738,left,0,2.1925,,92.2739,93.2735,0,7,7,6,1,partial,1,images/Ex16.jpg,right,training,easy,6,,,,,
