infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.001,22.767,space,22.697,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,22.767,39.173,space,16.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,39.178,41.554,space,2.363,,41.557,1.4,42.954,42.954,63.208,right,1,20.234,,63.209,64.205,0,0,0,6,1,total,1,images/Ex7.jpg,right,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,64.205,1,65.205,65.205,68.605,left,0,3.392,,68.605,69.605,0,1,1,13,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,69.605,1.1,70.705,70.705,74.325,right,1,3.613,,74.325,75.322,0,2,2,12,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,75.322,0.6,75.922,75.922,77.675,left,1,1.736,,77.675,78.672,0,3,3,0,1,total,1,images/Ex1.jpg,left,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,78.672,1,79.672,79.672,81.622,left,0,1.942,,81.622,82.622,0,4,4,4,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,82.622,1.4,84.022,84.022,85.092,right,0,1.053,,85.092,86.088,0,5,5,2,1,total,1,images/Ex3.jpg,left,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,86.089,1.1,87.189,87.189,88.455,left,0,1.259,,88.455,89.456,0,6,6,7,1,total,1,images/Ex8.jpg,right,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,89.456,0.5,89.955,89.955,90.992,left,1,1.019,,90.992,91.989,0,7,7,11,1,total,1,images/Ex4.jpg,left,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,91.989,1.4,93.389,93.389,94.622,right,1,1.226,,94.622,95.622,0,8,8,14,1,total,1,images/Ex7.jpg,right,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,95.622,1.4,97.022,97.022,98.139,right,0,1.102,,98.139,99.139,0,9,9,1,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,99.139,1.2,100.339,100.339,101.209,left,0,0.854,,101.209,102.206,0,10,10,5,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,102.206,1.1,103.306,103.306,104.327,left,1,1.009,,104.327,105.323,0,11,11,3,1,total,1,images/Ex4.jpg,left,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,105.323,1,106.323,106.323,107.125,left,0,0.795,,107.125,108.123,0,12,12,15,1,total,1,images/Ex8.jpg,right,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,108.123,0.5,108.623,108.623,109.475,right,0,0.844,,109.475,110.473,0,13,13,10,1,total,1,images/Ex3.jpg,left,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,110.473,1.3,111.773,111.773,113.195,right,0,1.409,,113.195,114.189,0,14,14,9,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,114.19,1,115.189,115.19,116.023,left,1,0.826,,116.023,117.023,0,15,15,8,1,total,1,images/Ex1.jpg,left,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,117.023,1.3,118.323,118.323,119.123,left,0,0.786,,119.123,120.123,1,0,16,13,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,562cd833733ea000111632ba,001,65,Female,British,Bec,2024-03-06_12h16.58.152,CRL1h,2023.2.3,MacIntel,71.42857143,65e67470ae2fbf2172c317b2,65e85e5da2ad759c8da840e0,,,,,,,,,,,120.123,0.5,120.623,120.623,121.74,right,1,1.11,,121.74,122.74,1,1,17,12,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
