infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,29.9654,space,29.9418,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,29.9664,109.7139,space,79.7155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,109.7553,113.0313,space,3.2484,,113.0485,1.1,114.1346,114.135,117.8316,right,1,3.6577,,117.8723,118.8272,0,0,0,14,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,118.8284,0.7,119.5275,119.5276,121.7554,left,0,2.2254,,121.7555,122.7519,0,1,1,4,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,122.7549,1.3,124.051,124.0513,125.3762,right,1,1.3086,,125.3764,126.3755,0,2,2,15,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,126.3771,1.2,127.5751,127.5753,128.9274,left,1,1.3412,,128.9276,129.9252,0,3,3,2,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,129.955,1.2,131.1483,131.1485,132.3502,left,1,1.1829,,132.3504,133.348,0,4,4,9,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,133.3496,0.9,134.248,134.2482,135.3747,right,1,1.1148,,135.3749,136.3718,0,5,5,6,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,136.373,1.1,137.4709,137.4709,138.3238,right,0,0.8331,,138.324,139.3212,0,6,6,0,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,139.3233,0.8,140.1219,140.122,142.1201,right,1,1.9898,,142.1202,143.1204,0,7,7,7,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,143.1221,1.3,144.4191,144.4193,145.621,left,0,1.1851,,145.6212,146.6199,0,8,8,12,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,146.6211,0.9,147.5188,147.519,148.1946,right,0,0.655,,148.195,149.1921,0,9,9,8,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,56b8ad1be1d0a2000c154093,001,61,female,British,First degree,2024-03-06_15h03.52.896,CRL1h,2023.2.3,Win32,40,65e67470ae2fbf2172c317b2,65e885b46534afcdc320e3ed,,,,,,,,,,,149.1925,1.4,150.5927,150.5929,151.6955,left,1,1.0996,,151.6956,152.6924,0,10,10,11,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
