infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,27.8458,space,27.7519,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,27.8459,50.2176,space,22.3466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,50.2209,53.5822,space,3.3423,,53.5859,0.9,54.4795,54.4796,67.6448,left,0,13.1612,,67.6449,68.6418,0,0,0,15,1,total,1,images/Ex8.jpg,right,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,68.6423,0.8,69.4464,69.4465,73.9594,left,1,4.5114,,73.9594,74.9491,0,1,1,0,1,total,1,images/Ex1.jpg,left,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,74.9493,1,75.947,75.947,76.4392,left,1,0.4912,,76.4392,77.4325,0,2,2,9,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,77.4327,1.3,78.7354,78.7354,80.6515,right,0,1.9153,,80.6515,81.6524,0,3,3,1,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,81.6527,1.3,82.9548,82.9548,84.0735,left,1,1.1181,,84.0735,85.0729,0,4,4,3,1,total,1,images/Ex4.jpg,left,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,85.0732,1.2,86.2654,86.2654,87.286,right,0,1.0198,,87.2861,88.2782,0,5,5,10,1,total,1,images/Ex3.jpg,left,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,88.2785,0.6,88.8673,88.8673,90.6834,left,1,1.815,,90.6834,91.6852,0,6,6,11,1,total,1,images/Ex4.jpg,left,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,91.6854,0.6,92.2757,92.2757,93.3175,left,0,1.0409,,93.3176,94.3113,0,7,7,6,1,total,1,images/Ex7.jpg,right,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,94.3115,0.8,95.1095,95.1095,95.7829,left,0,0.6726,,95.7829,96.7804,0,8,8,12,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,96.7808,1.1,97.8853,97.8853,99.1576,right,1,1.2719,,99.1576,100.1499,0,9,9,4,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,100.1503,0.9,101.045,101.045,101.8601,right,1,0.8143,,101.8601,102.8579,0,10,10,14,1,total,1,images/Ex7.jpg,right,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,102.8582,0.8,103.6552,103.6553,104.7698,left,0,1.1138,,104.7699,105.7738,0,11,11,5,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,105.7741,0.7,106.4732,106.4732,107.3891,left,0,0.9152,,107.3891,108.3805,0,12,12,7,1,total,1,images/Ex8.jpg,right,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,108.3808,1,109.3753,109.3753,110.1917,left,1,0.8157,,110.1917,111.1906,0,13,13,8,1,total,1,images/Ex1.jpg,left,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,111.1909,1.2,112.3921,112.3921,113.1401,right,1,0.7475,,113.1402,114.1433,0,14,14,13,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,114.1436,0.6,114.7416,114.7417,115.6793,right,0,0.9371,,115.6793,116.6669,0,15,15,2,1,total,1,images/Ex3.jpg,left,training,hard,2,,,,,
,,,,,58c8497430c4cf0001ce9caf,001,43,male,United Kingdo,Bachelor Degree,2024-03-06_12h15.57.550,CRL1h,2023.2.3,MacIntel,59.98080614,65e67470ae2fbf2172c317b2,65e85e5d0cf162c5c3cdf0f5,,,,,,,,,,,116.6672,0.8,117.4634,117.4635,118.6969,left,0,1.2328,,118.6969,119.6943,1,0,16,15,1,total,1,images/Ex8.jpg,right,training,hard,2,,,,,
