infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.001,2.839,space,2.792,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,2.839,21.071,space,18.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,21.073,23.187,space,2.098,,23.193,1.4,24.587,24.587,25.57,left,1,0.976,,25.57,26.571,0,0,0,0,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,26.572,0.8,27.37,27.37,27.838,right,0,0.466,,27.838,28.837,0,1,1,3,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,28.837,1.4,30.236,30.236,30.87,right,0,0.63,,30.87,31.869,0,2,2,10,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,31.87,0.6,32.47,32.47,32.804,left,0,0.329,,32.804,33.803,0,3,3,7,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,33.805,1,34.803,34.803,35.736,left,1,0.929,,35.737,36.736,0,4,4,9,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,36.738,0.7,37.437,37.437,38.203,left,0,0.762,,38.203,39.203,0,5,5,6,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,39.204,1.3,40.502,40.502,41.536,right,1,1.03,,41.537,42.536,0,6,6,14,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,42.537,0.6,43.136,43.136,44.053,right,1,0.912,,44.053,45.052,0,7,7,12,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,45.053,0.5,45.552,45.552,46.452,left,1,0.894,,46.452,47.452,0,8,8,8,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,47.453,1.3,48.753,48.753,49.786,left,1,1.028,,49.786,50.786,0,9,9,1,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,50.786,1.4,52.186,52.186,52.569,right,1,0.38,,52.569,53.569,0,10,10,15,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,53.569,0.6,54.169,54.17,54.519,left,0,0.346,,54.519,55.519,0,11,11,5,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,55.52,1.3,56.819,56.819,57.185,right,1,0.362,,57.185,58.185,0,12,12,13,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,58.185,0.9,59.085,59.085,60.102,left,1,1.016,,60.102,61.102,0,13,13,2,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,61.102,0.6,61.702,61.702,62.368,left,0,0.663,,62.368,63.368,0,14,14,4,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,63.368,1.3,64.668,64.668,65.002,right,0,0.33,,65.002,66.002,0,15,15,11,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,66.002,1.4,67.401,67.401,68.074,left,0,0.665,,68.074,69.069,1,0,16,7,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,69.069,1.4,70.468,70.468,71.234,right,0,0.762,,71.234,72.235,1,1,17,11,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,72.235,0.5,72.736,72.736,73.369,left,0,0.627,,73.369,74.368,1,2,18,14,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,74.369,1.5,75.868,75.868,76.017,right,1,0.144,,76.017,77.018,1,3,19,13,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,77.019,1.5,78.517,78.518,80.001,right,0,1.478,,80.001,81.001,1,4,20,10,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,81.002,0.7,81.701,81.701,82.184,left,1,0.479,,82.184,83.184,1,5,21,1,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,83.185,0.8,83.984,83.984,84.601,left,1,0.611,,84.601,85.601,1,6,22,2,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,85.601,1,86.601,86.601,86.934,left,0,0.328,,86.934,87.934,1,7,23,4,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,87.935,1,88.934,88.934,89.217,right,0,0.28,,89.217,90.217,1,8,24,3,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,90.217,1,91.217,91.217,91.534,left,1,0.312,,91.534,92.533,1,9,25,8,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,92.534,0.6,93.134,93.134,93.75,left,0,0.614,,93.75,94.751,1,10,26,15,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,94.751,0.9,95.65,95.65,96.3,right,1,0.645,,96.3,97.301,1,11,27,5,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,97.301,1.1,98.402,98.402,98.934,right,0,0.526,,98.934,99.934,1,12,28,9,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,99.935,0.9,100.834,100.834,101.134,left,1,0.299,,101.134,102.133,1,13,29,0,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,102.134,0.5,102.633,102.633,102.984,left,0,0.347,,102.984,103.984,1,14,30,12,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,103.986,1.5,105.485,105.485,106.366,left,0,0.878,,106.366,107.367,1,15,31,6,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,5980fff19bf4fe0001070984,001,,,,,2024-03-06_15h03.27.004,CRL1h,2023.2.3,Win32,60.0240096,65e67470ae2fbf2172c317b2,65e885b58610140d04ce3df8,,,,,,,,,,,107.368,1,108.366,108.366,108.65,right,1,0.279,,108.65,109.65,2,0,32,13,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
