infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,18.58,space,18.539,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,18.581,46.947,space,28.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,46.961,50.263,space,3.277,,50.275,1.3,51.58,51.581,55.48,left,1,3.882,,55.481,56.48,0,0,0,8,1,partial,1,images/Ex1.jpg,left,training,hard,3,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,56.482,0.8,57.279,57.279,58.063,left,0,0.772,,58.063,59.063,0,1,1,12,1,partial,1,images/Ex5.jpg,right,training,hard,3,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,59.064,0.6,59.663,59.663,60.396,right,1,0.728,,60.396,61.396,0,2,2,6,1,partial,1,images/Ex7.jpg,right,training,hard,3,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,61.397,1.2,62.596,62.596,63.08,right,1,0.474,,63.08,64.079,0,3,3,14,1,partial,1,images/Ex7.jpg,right,training,hard,3,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,64.081,1,65.079,65.079,65.729,right,0,0.637,,65.729,66.729,0,4,4,10,1,partial,1,images/Ex3.jpg,left,training,hard,3,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,66.731,1.4,68.129,68.129,68.696,right,0,0.56,,68.696,69.696,0,5,5,11,1,partial,1,images/Ex4.jpg,left,training,hard,3,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,69.697,0.7,70.396,70.396,70.896,left,0,0.494,,70.896,71.896,0,6,6,13,1,partial,1,images/Ex6.jpg,right,training,hard,3,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,71.897,1,72.896,72.896,73.546,right,1,0.636,,73.546,74.546,0,7,7,7,1,partial,1,images/Ex8.jpg,right,training,hard,3,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,74.547,1.1,75.647,75.647,76.062,right,1,0.405,,76.062,77.063,0,8,8,15,1,partial,1,images/Ex8.jpg,right,training,hard,3,,,,,
,,,,,5cb20f2d7c917b00172dfef5,001,,,,,2024-03-06_14h28.42.889,CRL1h,2023.2.3,MacIntel,62.5,65e67470ae2fbf2172c317b2,65e87d70e4be41a1b087e7e9,,,,,,,,,,,77.064,0.9,77.963,77.963,78.446,left,0,0.471,,78.446,79.446,0,9,9,4,1,partial,1,images/Ex5.jpg,right,training,hard,3,,,,,
