infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,7.4008,space,7.3564,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,7.401,97.2766,space,89.8564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,97.297,101.2596,space,3.9496,,101.2676,1.5,102.7577,102.7578,105.893,right,1,3.1291,,105.9062,106.8916,0,0,0,4,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,106.8929,0.6,107.49,107.49,109.5425,right,1,2.0466,,109.5426,110.54,0,1,1,12,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,110.5405,0.6,111.1396,111.1396,113.193,left,0,2.045,,113.193,114.1908,0,2,2,15,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,114.2081,1.1,115.3075,115.3077,116.6078,right,0,1.2947,,116.6079,117.6068,0,3,3,1,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,117.6234,0.6,118.2248,118.2248,119.4068,right,1,1.1804,,119.407,120.4074,0,4,4,7,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,120.4079,0.8,121.2055,121.2056,121.9914,left,1,0.7794,,121.9915,122.9897,0,5,5,9,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,122.9917,0.6,123.5905,123.5907,125.5938,right,0,1.9951,,125.5941,126.5899,0,6,6,2,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,126.5903,1,127.5906,127.5906,128.7416,left,1,1.1427,,128.7417,129.7412,0,7,7,8,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,129.7418,0.7,130.4392,130.4392,131.2236,left,1,0.7805,,131.2236,132.2231,0,8,8,10,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,132.2243,0.8,133.0226,133.0228,133.9716,right,1,0.9422,,133.9716,134.9717,0,9,9,6,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,134.9725,1,135.9724,135.9724,137.8553,left,0,1.8799,,137.8553,138.8542,0,10,10,13,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,138.8554,1.1,139.9571,139.9571,141.7905,right,1,1.8312,,141.7906,142.7865,0,11,11,5,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,142.7869,1.4,144.1877,144.1877,144.6371,right,1,0.4474,,144.6371,145.6395,0,12,12,14,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,145.6398,0.6,146.2386,146.2389,147.3204,left,1,1.0759,,147.3204,148.3187,0,13,13,0,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,148.3193,1.3,149.6188,149.6188,150.5698,right,0,0.9466,,150.5698,151.5685,0,14,14,3,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,151.5689,0.8,152.3698,152.3699,152.918,left,1,0.5456,,152.918,153.9203,0,15,15,11,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,153.9208,1,154.9197,154.9198,156.0198,right,1,1.0932,,156.0198,157.0191,1,0,16,5,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,157.0199,1.4,158.4183,158.4183,159.6184,left,0,1.197,,159.6185,160.6176,1,1,17,6,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,160.6189,0.5,161.1096,161.1096,163.4188,right,0,2.3041,,163.4189,164.4221,1,2,18,2,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,164.4386,1,165.436,165.4362,167.1516,left,0,1.7099,,167.1517,168.1508,1,3,19,4,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,168.1666,0.9,169.0646,169.0646,169.6501,right,1,0.5816,,169.6504,170.6532,1,4,20,13,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,170.6537,0.6,171.251,171.2511,171.8524,right,0,0.5997,,171.8524,172.8509,1,5,21,9,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,172.8515,0.9,173.752,173.752,174.3183,left,0,0.557,,174.3183,175.3187,1,6,22,14,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,175.3194,0.6,175.9188,175.9188,176.617,left,0,0.6943,,176.617,177.6184,1,7,23,12,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,177.619,0.7,178.3177,178.3177,179.0166,right,0,0.6928,,179.0167,180.0175,1,8,24,8,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,180.0181,0.7,180.718,180.718,182.0172,left,1,1.2932,,182.0172,183.0169,1,9,25,10,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,183.0176,0.9,183.9178,183.9178,184.7503,right,0,0.8259,,184.7503,185.7509,1,10,26,11,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,185.7517,1.2,186.9507,186.9507,187.8513,left,1,0.8939,,187.8514,188.8495,1,11,27,0,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,188.8502,1.1,189.956,189.956,190.8167,right,1,0.8552,,190.8168,191.8167,1,12,28,15,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,191.8173,0.9,192.7162,192.7162,194.0189,right,0,1.301,,194.019,195.0165,1,13,29,3,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,195.0173,0.6,195.6161,195.6161,196.8818,left,1,1.2605,,196.8818,197.8807,1,14,30,1,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,197.8814,0.5,198.3819,198.3819,199.5679,right,1,1.1842,,199.568,200.5661,1,15,31,7,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,200.5668,0.9,201.4646,201.4647,202.4352,left,1,0.9681,,202.4352,203.4323,2,0,32,3,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,203.4329,1.3,204.7321,204.7321,205.5316,right,1,0.7928,,205.5316,206.5316,2,1,33,14,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,206.5324,0.6,207.1312,207.1312,208.6491,left,1,1.5119,,208.6491,209.6485,2,2,34,0,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,209.6639,1,210.6639,210.6639,211.6152,right,1,0.9469,,211.6152,212.6145,2,3,35,13,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,212.6149,1.4,214.0139,214.0141,215.13,left,1,1.1105,,215.1306,216.1305,2,4,36,9,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,216.1312,0.5,216.6308,216.6309,217.1633,left,1,0.5259,,217.1634,218.1608,2,5,37,8,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,218.1611,1.1,219.2624,219.2624,219.5291,right,1,0.2603,,219.5292,220.529,2,6,38,6,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,220.5303,0.6,221.1286,221.1286,221.6303,right,0,0.4945,,221.6304,222.63,2,7,39,10,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,222.6306,1.5,224.1315,224.1315,226.2286,right,0,2.0907,,226.2289,227.229,2,8,40,11,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,227.2297,1.3,228.529,228.5291,230.0113,right,1,1.4778,,230.0113,231.0099,2,9,41,4,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,231.0104,0.5,231.5103,231.5104,233.7781,left,0,2.2623,,233.7782,234.7769,2,10,42,5,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,234.7936,0.8,235.5927,235.5927,236.0782,right,1,0.4794,,236.0782,237.078,2,11,43,12,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,237.0786,0.7,237.7765,237.7766,240.059,left,0,2.2781,,240.059,241.0618,2,12,44,7,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,241.0622,0.7,241.761,241.761,242.6437,left,1,0.8786,,242.6438,243.6433,2,13,45,2,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,243.6436,1.1,244.7421,244.7422,245.4089,right,1,0.6612,,245.4089,246.4089,2,14,46,15,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,246.4095,0.7,247.1096,247.1096,248.2583,right,0,1.1475,,248.2583,249.2574,2,15,47,1,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,249.2579,0.9,250.158,250.1581,250.8757,left,1,0.7153,,250.8758,251.8743,3,0,48,10,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,251.8748,0.6,252.4759,252.4759,253.0937,right,1,0.6119,,253.0938,254.0919,3,1,49,5,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,254.0926,0.5,254.5927,254.5928,256.2421,left,1,1.6431,,256.2422,257.2429,3,2,50,3,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5efea1f363271c3b76d4c9ed,001,,,,,2024-03-05_22h20.22.096,CRL1h,2023.2.3,MacIntel,59.88023952,65e67470ae2fbf2172c317b2,65e79a8e36f3a1b9d1ba4bdd,,,,,,,,,,,257.2433,1.4,258.6394,258.6395,259.3742,left,1,0.7287,,259.3742,260.3755,3,3,51,11,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
