infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0008,39.1086,space,38.9205,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,39.1093,77.0016,space,37.8186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,,,,,,77.0545,82.3081,space,5.1898,,82.3634,0.6,82.9522,82.9526,88.6403,right,0,5.5979,,88.6759,89.6322,0,0,0,8,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,,,,,,,,,,,89.634,0.5,90.1287,90.1291,91.6416,right,1,1.5087,,91.6417,92.6638,0,1,1,4,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,,,,,,,,,,,92.6651,0.7,93.3504,93.3504,94.6673,right,0,1.3132,,94.6674,95.6325,0,2,2,10,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,,,,,,,,,,,95.6336,1.5,97.1333,97.1334,98.2664,left,1,1.1304,,98.2665,99.2786,0,3,3,1,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,,,,,,,,,,,99.2802,1.4,100.6429,100.6429,101.473,left,1,0.8276,,101.4731,102.4286,0,4,4,9,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,,,,,,,,,,,102.43,1.4,103.8075,103.8076,104.8712,right,0,1.0594,,104.8714,105.8241,0,5,5,3,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,,,,,,,,,,,105.8251,1.4,107.1855,107.1856,108.571,right,1,1.3817,,108.5712,109.5327,0,6,6,15,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5f3ec93efbd299158253f283,001,51,male,UK,BA hons,2024-03-06_15h52.32.295,CRL1h,2023.2.3,Win32,19.84126984,65e67470ae2fbf2172c317b2,65e890bfdff7ad8b253a0bec,,,,,,,,,,,109.5336,1.2,110.7319,110.732,112.0524,left,0,1.3125,,112.0526,113.0589,0,7,7,12,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
