infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,33.1125,space,33.074,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,33.1127,120.5729,space,87.4355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,120.6057,124.5213,space,3.8963,,124.5301,1.4,125.9204,125.9209,130.6214,left,0,4.6805,,130.6394,131.6199,0,0,0,7,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,131.6205,0.9,132.5194,132.5195,133.3362,right,1,0.8059,,133.3363,134.3361,0,1,1,4,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,134.3364,1.4,135.7363,135.7364,136.2872,right,0,0.5387,,136.2875,137.2753,0,2,2,0,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,137.2756,1.4,138.6695,138.6697,139.3707,left,0,0.6861,,139.3708,140.3695,0,3,3,13,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,140.3707,1.5,141.8707,141.8708,142.7548,right,0,0.8693,,142.7549,143.7532,0,4,4,3,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,143.7542,0.7,144.4534,144.4535,145.3199,left,1,0.8527,,145.3202,146.3203,0,5,5,10,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,146.3221,0.9,147.22,147.2202,147.8707,right,1,0.6358,,147.8708,148.8698,0,6,6,5,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,148.8711,0.9,149.7695,149.7697,150.3535,right,0,0.5772,,150.3537,151.353,0,7,7,11,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,151.3544,0.8,152.1529,152.153,152.8367,left,0,0.6697,,152.837,153.8367,0,8,8,6,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,153.8397,1.3,155.1367,155.1369,155.5536,right,1,0.4031,,155.5538,156.5531,0,9,9,15,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,156.5543,0.7,157.2531,157.2532,158.0036,right,0,0.7369,,158.0038,159.003,0,10,10,1,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,159.0042,0.8,159.8029,159.803,160.27,left,0,0.4545,,160.2701,161.27,0,11,11,14,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,161.2713,1.1,162.3697,162.3698,162.7867,right,1,0.4119,,162.7869,163.7864,0,12,12,12,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,163.7878,1.4,165.1867,165.1867,165.9039,right,0,0.7096,,165.904,166.9032,0,13,13,8,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,5f4a9eb861da210d3496cb34,001,61,Female,UK,Masters,2024-03-05_22h28.49.436,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e79a88027df4e53e14004c,,,,,,,,,,,166.9046,0.8,167.7033,167.7034,168.2869,left,1,0.5698,,168.2871,169.2866,0,14,14,2,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
