infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0004,36.9181,space,36.8288,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,36.9188,553.8971,space,516.9442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,,,,,,553.9223,557.682,space,3.7332,,557.71,1.4,559.1053,559.1067,562.7468,left,1,3.5963,,562.7842,563.7543,0,0,0,11,1,partial,1,images/Ex12.jpg,left,training,hard,1,,,,,
,,,,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,,,,,,,,,,,563.7564,0.9,564.6528,564.6529,565.401,right,1,0.7446,,565.401,566.3987,0,1,1,4,1,partial,1,images/Ex13.jpg,right,training,hard,1,,,,,
,,,,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,,,,,,,,,,,566.4002,0.7,567.0973,567.0973,567.8354,left,1,0.7348,,567.8365,568.8339,0,2,2,3,1,partial,1,images/Ex12.jpg,left,training,hard,1,,,,,
,,,,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,,,,,,,,,,,568.8352,0.8,569.6271,569.6273,570.695,right,0,1.0632,,570.6951,571.6905,0,3,3,8,1,partial,1,images/Ex9.jpg,left,training,hard,1,,,,,
,,,,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,,,,,,,,,,,571.694,0.9,572.5918,572.5919,573.5656,left,0,0.9698,,573.5657,574.5556,0,4,4,5,1,partial,1,images/Ex14.jpg,right,training,hard,1,,,,,
,,,,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,,,,,,,,,,,574.5565,1.4,575.956,575.9561,576.9459,right,0,0.985,,576.9461,577.9423,0,5,5,2,1,partial,1,images/Ex11.jpg,left,training,hard,1,,,,,
,,,,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,,,,,,,,,,,577.9436,1.1,579.0373,579.0373,579.7673,left,1,0.7272,,579.7675,580.7634,0,6,6,9,1,partial,1,images/Ex10.jpg,left,training,hard,1,,,,,
,,,,,612b6389df1f3d38677d06f2,001,34,female,Zimbabwean,Masters,2024-03-05_22h39.30.561,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e79a8f7357ea00136af8a8,,,,,,,,,,,580.7646,0.6,581.3795,581.3795,582.9163,right,1,1.5331,,582.9165,583.9173,0,7,7,7,1,partial,1,images/Ex16.jpg,right,training,hard,1,,,,,
