infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,22.8227,space,22.7806,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,22.823,24.5751,space,1.7092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,24.5848,26.6014,space,1.9986,,26.6102,1.5,28.1147,28.1152,38.9296,left,1,10.7901,,38.9297,39.9309,0,0,0,9,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,39.9327,1,40.9305,40.9306,41.9291,right,0,0.9937,,41.9292,42.9169,0,1,1,11,1,total,1,images/Ex4.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,42.9173,1.1,44.0124,44.0124,44.4754,left,0,0.4556,,44.4755,45.4652,0,2,2,12,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,45.4656,1.4,46.8589,46.8589,47.8108,right,1,0.9454,,47.8108,48.8016,0,3,3,15,1,total,1,images/Ex8.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,48.8029,1.4,50.1973,50.1973,50.9033,left,1,0.6969,,50.9034,51.9072,0,4,4,1,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,51.9075,1.5,53.4035,53.4036,53.7373,left,0,0.3305,,53.7374,54.7375,0,5,5,13,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,54.7387,1.4,56.1293,56.1294,57.2163,right,0,1.0767,,57.2165,58.2164,0,6,6,10,1,total,1,images/Ex3.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,58.217,1.1,59.3061,59.3062,59.9777,left,1,0.6657,,59.9777,60.9658,0,7,7,0,1,total,1,images/Ex1.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,60.9663,1,61.9701,61.9701,63.1654,left,0,1.1938,,63.1655,64.1532,0,8,8,6,1,total,1,images/Ex7.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,64.1541,1.1,65.2582,65.2583,65.7537,left,1,0.4912,,65.7539,66.7567,0,9,9,8,1,total,1,images/Ex1.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,66.7571,1.5,68.2492,68.2493,68.6172,right,1,0.364,,68.6173,69.6218,0,10,10,5,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,69.6225,0.6,70.2203,70.2204,70.6062,left,0,0.3772,,70.6062,71.6053,0,11,11,14,1,total,1,images/Ex7.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,71.6058,0.9,72.4974,72.4974,72.8649,right,1,0.3558,,72.865,73.8545,0,12,12,7,1,total,1,images/Ex8.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,73.8549,1,74.8422,74.8423,75.1963,left,0,0.3402,,75.1964,76.1843,0,13,13,4,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,76.1846,0.7,76.8893,76.8893,77.4392,left,1,0.5379,,77.4393,78.4383,0,14,14,3,1,total,1,images/Ex4.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,78.4387,1.5,79.9325,79.9327,80.1978,right,0,0.2574,,80.1978,81.1879,0,15,15,2,1,total,1,images/Ex3.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,81.1886,1.1,82.2799,82.2799,82.8247,left,0,0.5382,,82.8248,83.8272,1,0,16,14,1,total,1,images/Ex7.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,83.828,0.6,84.427,84.4271,85.0785,right,0,0.6432,,85.0786,86.0822,1,1,17,1,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,86.0826,0.8,86.8736,86.8736,87.4715,right,1,0.5914,,87.4715,88.4725,1,2,18,12,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,88.473,1.1,89.5661,89.5661,89.8698,right,0,0.2969,,89.8699,90.8593,1,3,19,3,1,total,1,images/Ex4.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,90.8599,1.1,91.9633,91.9633,92.2969,left,0,0.3236,,92.297,93.2992,1,4,20,15,1,total,1,images/Ex8.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,93.2995,0.9,94.1949,94.1949,94.7561,left,1,0.5549,,94.7562,95.7585,1,5,21,8,1,total,1,images/Ex1.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,95.7593,1.1,96.8466,96.8466,97.1474,left,1,0.2932,,97.1475,98.1502,1,6,22,9,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,98.1506,1,99.1538,99.1538,99.8037,left,1,0.6442,,99.8037,100.7911,1,7,23,10,1,total,1,images/Ex3.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,100.7914,1.1,101.8951,101.8952,102.2294,right,0,0.3208,,102.2295,103.2328,1,8,24,2,1,total,1,images/Ex3.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,103.2331,0.8,104.0283,104.0283,104.5942,left,1,0.5534,,104.5943,105.598,1,9,25,0,1,total,1,images/Ex1.jpg,left,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,105.5983,0.9,106.495,106.4951,106.8127,left,0,0.304,,106.8127,107.8039,1,10,26,4,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,107.8047,0.9,108.7005,108.7006,108.9662,right,1,0.2577,,108.9662,109.9707,1,11,27,6,1,total,1,images/Ex7.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,109.9713,1.2,111.1656,111.1656,111.2545,right,1,0.0785,,111.2546,112.2551,1,12,28,13,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,63d53b38b9e515c80720bb76,001,,,,,2024-03-06_13h54.33.652,CRL1h,2023.2.3,Win32,55.55555556,65e67470ae2fbf2172c317b2,65e8755a928abe21664b702a,,,,,,,,,,,112.2556,0.6,112.853,112.8531,113.2057,left,0,0.3516,,113.2058,114.193,1,13,29,5,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
