infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,9.137,space,9.086,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,9.138,107.787,space,98.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,107.795,112.524,space,4.704,,112.54,0.9,113.442,113.442,116.545,left,1,3.089,,116.546,117.545,0,0,0,3,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,117.548,0.9,118.446,118.446,119.147,left,1,0.692,,119.147,120.148,0,1,1,11,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,120.149,1.1,121.248,121.249,122.649,right,0,1.392,,122.649,123.65,0,2,2,2,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,123.651,0.5,124.15,124.15,126.486,right,0,2.324,,126.486,127.486,0,3,3,9,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,127.488,0.7,128.187,128.187,130.623,right,1,2.425,,130.623,131.623,0,4,4,13,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,131.625,0.6,132.224,132.224,133.125,right,1,0.9,,133.125,134.126,0,5,5,5,1,total,1,images/Ex6.jpg,right,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,134.126,0.5,134.626,134.626,135.944,right,1,1.305,,135.944,136.944,0,6,6,12,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,136.945,0.6,137.545,137.545,138.847,left,1,1.29,,138.847,139.847,0,7,7,1,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,139.847,0.7,140.547,140.548,142.332,left,1,1.775,,142.332,143.333,0,8,8,10,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,143.334,1.4,144.734,144.734,146.102,left,1,1.357,,146.102,147.102,0,9,9,8,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,147.103,0.6,147.705,147.705,148.771,right,1,1.052,,148.772,149.772,0,10,10,7,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,149.774,1,150.772,150.772,152.074,left,1,1.289,,152.074,153.075,0,11,11,0,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,153.076,1.1,154.175,154.175,157.145,left,0,2.96,,157.145,158.146,0,12,12,15,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,158.147,0.8,158.946,158.946,160.865,right,1,1.911,,160.865,161.865,0,13,13,14,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,161.866,0.9,162.766,162.767,164.551,left,0,1.78,,164.551,165.552,0,14,14,4,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,165.552,0.7,166.252,166.252,168.687,right,1,2.429,,168.687,169.689,0,15,15,6,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,169.69,0.5,170.189,170.189,171.423,left,1,1.223,,171.423,172.424,1,0,16,1,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,64136457f1327294ffb3fef9,001,32,Male,British,BA Hons,2024-03-05_22h21.02.436,CRL1h,2023.2.3,Win32,59.95203837,65e67470ae2fbf2172c317b2,65e79a9c317a389bcc19727d,,,,,,,,,,,172.425,0.7,173.125,173.125,174.776,left,0,1.64,,174.776,175.777,1,1,17,12,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
