infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,31.6625,space,31.6202,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,31.6633,141.9266,space,110.2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,141.9459,149.3941,space,7.4305,,149.4146,0.9,150.2934,150.2938,152.4605,left,1,2.134,,152.461,153.4599,0,0,0,11,1,total,1,images/Ex12.jpg,left,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,153.4619,0.8,154.2591,154.2591,156.2929,right,1,2.0079,,156.293,157.2928,0,1,1,12,1,total,1,images/Ex13.jpg,right,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,157.2942,1.3,158.5926,158.5928,159.7926,right,1,1.179,,159.7928,160.7933,0,2,2,6,1,total,1,images/Ex15.jpg,right,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,160.7942,1.5,162.2931,162.2932,164.7261,left,1,2.4175,,164.7261,165.7263,0,3,3,0,1,total,1,images/Ex9.jpg,left,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,165.7273,1.2,166.9258,166.9259,168.7257,right,1,1.7886,,168.7258,169.7256,0,4,4,7,1,total,1,images/Ex16.jpg,right,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,169.7265,0.6,170.3252,170.3252,171.1261,left,0,0.7893,,171.1262,172.1258,0,5,5,4,1,total,1,images/Ex13.jpg,right,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,172.1269,1.5,173.6259,173.626,175.3587,left,0,1.7268,,175.3588,176.3591,0,6,6,15,1,total,1,images/Ex16.jpg,right,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,176.3729,0.6,176.9593,176.9594,177.6257,left,1,0.647,,177.6258,178.6255,0,7,7,3,1,total,1,images/Ex12.jpg,left,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,178.6267,0.9,179.5255,179.5256,182.2256,right,0,2.6858,,182.2257,183.2255,0,8,8,9,1,total,1,images/Ex10.jpg,left,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,183.2421,1.1,184.3254,184.3255,185.6255,right,1,1.2844,,185.6256,186.6255,0,9,9,13,1,total,1,images/Ex14.jpg,right,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,186.6268,0.7,187.3249,187.3249,187.9251,left,1,0.579,,187.9252,188.9254,0,10,10,1,1,total,1,images/Ex10.jpg,left,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,188.9264,0.8,189.7252,189.7253,190.2922,right,0,0.551,,190.2923,191.2916,0,11,11,10,1,total,1,images/Ex11.jpg,left,training,hard,4,,,,,
,,,,,65d1d2f7bbb5b1ec274b3253,001,33,male,filipino,Bachelor,2024-03-06_15h04.33.242,CRL1h,2023.2.3,Linux x86_64,30.03003003,65e67470ae2fbf2172c317b2,65e885b4d2247d6a4fada9af,,,,,,,,,,,191.2922,1.5,192.7921,192.7921,194.2252,right,1,1.4277,,194.2253,195.2252,0,12,12,14,1,total,1,images/Ex15.jpg,right,training,hard,4,,,,,
