"participant","task","phase","Exemplars","r_correct","response.keys","response.corr","response.rt","condition","difficulty","set","first","subjectId","goodSubject","blocksPhase","blocks","condition2","goodTrials"
"562cd833733ea000111632ba","total",1,7,"right","right",1,20.234,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",FALSE
"562cd833733ea000111632ba","total",1,6,"right","left",0,3.392,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,5,"right","right",1,3.613,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,1,"left","left",1,1.736,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,5,"right","left",0,1.942,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,3,"left","right",0,1.053,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,8,"right","left",0,1.259,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,4,"left","left",1,1.019,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,7,"right","right",1,1.226,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,2,"left","right",0,1.102,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,6,"right","left",0,0.854,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,4,"left","left",1,1.009,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,8,"right","left",0,0.795,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,3,"left","right",0,0.844,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,2,"left","right",0,1.409,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,1,"left","left",1,0.826,"reversed","hard",2,"first-total","P1",FALSE,1,1,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,6,"right","left",0,0.786,"reversed","hard",2,"first-total","P1",FALSE,2,2,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,5,"right","right",1,1.11,"reversed","hard",2,"first-total","P1",FALSE,2,2,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,2,"left","right",0,1.586,"reversed","hard",2,"first-total","P1",FALSE,2,2,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,7,"right","left",0,1.076,"reversed","hard",2,"first-total","P1",FALSE,2,2,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,3,"left","left",1,0.876,"reversed","hard",2,"first-total","P1",FALSE,2,2,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,5,"right","left",0,1.02,"reversed","hard",2,"first-total","P1",FALSE,2,2,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,1,"left","right",0,0.843,"reversed","hard",2,"first-total","P1",FALSE,2,2,"total-reversed",TRUE
"562cd833733ea000111632ba","total",1,1,"left","left",1,0.758,"reversed","hard",2,"first-total","P1",FALSE,2,2,"total-reversed",TRUE
