infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,3.1811,space,3.1538,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,3.1812,5.4191,space,2.2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,,,,,,5.4225,7.9081,space,2.463,,7.9124,0.9,8.8102,8.8106,17.4958,left,0,8.6724,,17.496,18.4979,0,0,0,5,1,total,1,images/Ex3.jpg,right,training,easy,1,,,,,
,,,,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,,,,,,,,,,,18.4986,1.3,19.8006,19.8006,20.5691,right,0,0.7617,,20.5691,21.5715,0,1,1,0,1,total,1,images/Ex1.jpg,left,training,easy,1,,,,,
,,,,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,,,,,,,,,,,21.5719,1.1,22.6734,22.6734,23.7761,left,0,1.0992,,23.7761,24.7781,0,2,2,7,1,total,1,images/Ex4.jpg,right,training,easy,1,,,,,
,,,,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,,,,,,,,,,,24.7784,0.7,25.4796,25.4797,26.9832,right,0,1.4952,,26.9832,27.9857,0,3,3,2,1,total,1,images/Ex2.jpg,left,training,easy,1,,,,,
,,,,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,,,,,,,,,,,27.9863,1.3,29.2881,29.2881,30.1235,right,1,0.8231,,30.1236,31.1253,0,4,4,6,1,total,1,images/Ex4.jpg,right,training,easy,1,,,,,
,,,,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,,,,,,,,,,,31.1256,1.2,32.3131,32.3131,32.8806,left,0,0.5532,,32.8807,33.8817,0,5,5,4,1,total,1,images/Ex3.jpg,right,training,easy,1,,,,,
,,,,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,,,,,,,,,,,33.8819,1.2,35.0839,35.084,36.0863,left,1,0.9975,,36.0863,37.0884,0,6,6,3,1,total,1,images/Ex2.jpg,left,training,easy,1,,,,,
,,,,,5c3d5129a9bfb4000168e299,001,24,Male,British,BSC,2024-02-25_21h21.14.159,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dbaebb1e20f3e24a5992f4,,,,,,,,,,,37.0888,1.2,38.2911,38.2912,39.043,right,0,0.7432,,39.0431,40.0448,0,7,7,1,1,total,1,images/Ex1.jpg,left,training,easy,1,,,,,
