infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0006,52.682,space,52.6177,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,52.6841,135.7187,space,83.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,,,,,,135.7644,141.1622,space,5.3791,,141.1974,1.3,142.4925,142.493,144.497,left,0,1.9779,,144.4974,145.4894,0,0,0,6,1,total,1,images/Ex16.jpg,right,training,easy,8,,,,,
,,,,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,,,,,,,,,,,145.4908,0.7,146.1865,146.1866,147.4201,right,1,1.2297,,147.4203,148.4195,0,1,1,5,1,total,1,images/Ex15.jpg,right,training,easy,8,,,,,
,,,,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,,,,,,,,,,,148.4203,0.7,149.1188,149.119,149.77,left,1,0.6482,,149.7701,150.7662,0,2,2,3,1,total,1,images/Ex14.jpg,left,training,easy,8,,,,,
,,,,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,,,,,,,,,,,150.7674,1.3,152.0637,152.0637,152.5827,right,0,0.5162,,152.5828,153.5803,0,3,3,0,1,total,1,images/Ex13.jpg,left,training,easy,8,,,,,
,,,,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,,,,,,,,,,,153.5816,0.6,154.174,154.1741,155.1811,left,1,1.0043,,155.1812,156.1775,0,4,4,2,1,total,1,images/Ex14.jpg,left,training,easy,8,,,,,
,,,,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,,,,,,,,,,,156.1783,1.3,157.4694,157.4694,158.3414,right,1,0.8696,,158.3415,159.342,0,5,5,4,1,total,1,images/Ex15.jpg,right,training,easy,8,,,,,
,,,,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,,,,,,,,,,,159.3426,0.5,159.8413,159.8414,160.781,left,0,0.9348,,160.7811,161.7734,0,6,6,7,1,total,1,images/Ex16.jpg,right,training,easy,8,,,,,
,,,,,5c4d8d706b23ab0001a34af2,001,,,,,2024-02-26_20h42.42.998,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf7515c4c8090ce3cb410,,,,,,,,,,,161.7745,1,162.7709,162.7711,163.6541,right,0,0.8802,,163.6543,164.6448,0,7,7,1,1,total,1,images/Ex13.jpg,left,training,easy,8,,,,,
