infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,2.0042,space,1.9831,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,2.0044,3.4922,space,1.4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,,,,,,3.4947,1315.0008,space,1311.4948,,1315.0107,1,1316.0087,1316.0088,1321.0224,left,1,5.0078,,1321.0277,1322.0235,0,0,0,2,1,partial,1,images/Ex6.jpg,left,training,easy,1,,,,,
,,,,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,,,,,,,,,,,1322.024,1.5,1323.5282,1323.5283,1324.4154,left,0,0.8857,,1324.4155,1325.4168,0,1,1,5,1,partial,1,images/Ex7.jpg,right,training,easy,1,,,,,
,,,,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,,,,,,,,,,,1325.4171,0.7,1326.1122,1326.1122,1327.7979,left,1,1.6847,,1327.798,1328.7962,0,2,2,0,1,partial,1,images/Ex5.jpg,left,training,easy,1,,,,,
,,,,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,,,,,,,,,,,1328.7966,1.4,1330.1939,1330.1939,1331.244,left,0,1.0453,,1331.2441,1332.2452,0,3,3,4,1,partial,1,images/Ex7.jpg,right,training,easy,1,,,,,
,,,,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,,,,,,,,,,,1332.2455,0.5,1332.7459,1332.746,1334.0394,right,1,1.2888,,1334.0394,1335.0406,0,4,4,6,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
,,,,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,,,,,,,,,,,1335.0408,1,1336.0419,1336.0419,1336.9181,left,1,0.8727,,1336.9182,1337.9194,0,5,5,3,1,partial,1,images/Ex6.jpg,left,training,easy,1,,,,,
,,,,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,,,,,,,,,,,1337.9197,1.5,1339.4213,1339.4214,1340.1376,right,0,0.7124,,1340.1376,1341.1389,0,6,6,1,1,partial,1,images/Ex5.jpg,left,training,easy,1,,,,,
,,,,,5ee683596f9b570626faa11c,001,41,male,british,bachelors,2024-02-26_01h31.39.484,CRL1e,2023.2.3,Win32,144.9275362,65dbad3905fde4fe1981dc61,65dbe9e75fde30418cc856c2,,,,,,,,,,,1341.1392,1.4,1342.5366,1342.5366,1343.3989,left,0,0.8574,,1343.399,1344.4001,0,7,7,7,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
