infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,18.245,space,18.221,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,18.245,50.045,space,31.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,,,,,,50.048,53.862,space,3.797,,53.867,0.9,54.761,54.762,58.362,left,1,3.584,,58.362,59.361,0,0,0,3,1,total,1,images/Ex14.jpg,left,training,easy,7,,,,,
,,,,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,,,,,,,,,,,59.362,0.6,59.961,59.961,60.928,left,0,0.958,,60.928,61.928,0,1,1,4,1,total,1,images/Ex15.jpg,right,training,easy,7,,,,,
,,,,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,,,,,,,,,,,61.929,1.4,63.327,63.327,63.994,right,1,0.657,,63.994,64.994,0,2,2,6,1,total,1,images/Ex16.jpg,right,training,easy,7,,,,,
,,,,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,,,,,,,,,,,64.995,1.2,66.195,66.195,66.928,right,1,0.726,,66.928,67.928,0,3,3,5,1,total,1,images/Ex15.jpg,right,training,easy,7,,,,,
,,,,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,,,,,,,,,,,67.929,0.9,68.828,68.828,69.361,left,1,0.525,,69.361,70.361,0,4,4,1,1,total,1,images/Ex13.jpg,left,training,easy,7,,,,,
,,,,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,,,,,,,,,,,70.362,1,71.361,71.361,72.027,right,0,0.655,,72.027,73.028,0,5,5,2,1,total,1,images/Ex14.jpg,left,training,easy,7,,,,,
,,,,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,,,,,,,,,,,73.028,1.4,74.428,74.428,75.094,right,1,0.654,,75.094,76.094,0,6,6,7,1,total,1,images/Ex16.jpg,right,training,easy,7,,,,,
,,,,,5f0788c06b220f03231666a0,001,63,Female,British,postgraduate,2024-02-26_20h26.56.028,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dcf3dd314e15a955b65841,,,,,,,,,,,76.095,0.5,76.594,76.594,77.494,left,1,0.894,,77.494,78.495,0,7,7,0,1,total,1,images/Ex13.jpg,left,training,easy,7,,,,,
