infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,19.7125,space,19.6824,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,19.7132,36.9141,space,17.1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,36.9187,38.396,space,1.4655,,38.4008,0.9,39.2972,39.2977,41.4471,right,1,2.1364,,41.4475,42.4475,0,0,0,4,1,partial,1,images/Ex7.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,42.4481,0.9,43.3467,43.3467,44.348,left,1,0.9948,,44.348,45.3493,0,1,1,2,1,partial,1,images/Ex6.jpg,left,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,45.3498,0.8,46.1473,46.1473,47.048,right,1,0.8919,,47.048,48.0472,0,2,2,5,1,partial,1,images/Ex7.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,48.0485,1.3,49.3469,49.3469,50.1181,left,0,0.7653,,50.1181,51.114,0,3,3,6,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,51.1153,1,52.1141,52.1143,53.0987,right,1,0.9781,,53.0987,54.0975,0,4,4,7,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,54.0988,0.7,54.7992,54.7992,56.1979,left,1,1.3926,,56.1979,57.1977,0,5,5,3,1,partial,1,images/Ex6.jpg,left,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,57.199,0.7,57.8994,57.8995,59.0324,left,1,1.1256,,59.0324,60.0315,0,6,6,1,1,partial,1,images/Ex5.jpg,left,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,60.0331,0.7,60.7315,60.7315,61.6327,left,1,0.8919,,61.6328,62.6314,0,7,7,0,1,partial,1,images/Ex5.jpg,left,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,62.6329,1.2,63.8313,63.8315,64.6317,left,1,0.7935,,64.6317,65.6316,1,0,8,0,1,partial,1,images/Ex5.jpg,left,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,65.6329,0.6,66.2318,66.2319,67.232,right,1,0.9884,,67.2321,68.2317,1,1,9,5,1,partial,1,images/Ex7.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,68.2327,0.9,69.1318,69.1318,70.3728,left,1,1.2384,,70.3728,71.3668,1,2,10,3,1,partial,1,images/Ex6.jpg,left,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,71.367,0.6,71.9654,71.9655,72.7006,right,1,0.7221,,72.7006,73.699,1,3,11,4,1,partial,1,images/Ex7.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,73.6999,1.1,74.7989,74.799,75.617,left,1,0.8078,,75.6171,76.6157,1,4,12,2,1,partial,1,images/Ex6.jpg,left,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,76.6165,1,77.617,77.6173,78.5841,right,0,0.9621,,78.5841,79.5826,1,5,13,1,1,partial,1,images/Ex5.jpg,left,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,79.5843,1.4,80.9835,80.9836,81.6339,left,0,0.6421,,81.634,82.6329,1,6,14,7,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,82.6342,0.8,83.4333,83.4334,84.618,left,0,1.1767,,84.6181,85.6164,1,7,15,6,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,85.6177,0.5,86.1168,86.1172,86.8505,right,1,0.7276,,86.8505,87.8503,2,0,16,6,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,87.8513,0.7,88.55,88.55,89.1511,right,1,0.5927,,89.1511,90.1507,2,1,17,7,1,partial,1,images/Ex8.jpg,right,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,90.1515,1,91.1514,91.1514,91.985,left,1,0.8314,,91.985,92.9835,2,2,18,1,1,partial,1,images/Ex5.jpg,left,training,easy,1,,,,,
,,,,,63ea8ec521931832f4b6b7cb,001,24,female,british,bachelors,2024-02-25_21h16.10.429,CRL1e,2023.2.3,MacIntel,60.24096386,65dbad3905fde4fe1981dc61,65dbadeeedc3d103f0e373fe,,,,,,,,,,,92.9847,0.6,93.5838,93.5838,94.8675,left,0,1.2738,,94.8675,95.8677,2,3,19,4,1,partial,1,images/Ex7.jpg,right,training,easy,1,,,,,
