infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0004,2.4541,space,2.386,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,2.4544,17.7207,space,15.2405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,,,,,,17.7248,19.3872,space,1.6434,,19.391,0.7,20.0876,20.0878,22.8539,right,1,2.7515,,22.8541,23.8544,0,0,0,7,1,total,1,images/Ex8.jpg,right,training,easy,4,,,,,
,,,,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,,,,,,,,,,,23.8553,0.7,24.5537,24.5537,26.4041,left,1,1.8391,,26.4042,27.4035,0,1,1,1,1,total,1,images/Ex5.jpg,left,training,easy,4,,,,,
,,,,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,,,,,,,,,,,27.4039,1.1,28.5037,28.5037,30.021,right,0,1.5052,,30.0211,31.0205,0,2,2,3,1,total,1,images/Ex6.jpg,left,training,easy,4,,,,,
,,,,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,,,,,,,,,,,31.0209,1.5,32.5202,32.5202,33.637,left,1,1.1088,,33.6371,34.6367,0,3,3,0,1,total,1,images/Ex5.jpg,left,training,easy,4,,,,,
,,,,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,,,,,,,,,,,34.637,1.2,35.8376,35.8376,36.8872,left,1,1.0454,,36.8872,37.8872,0,4,4,2,1,total,1,images/Ex6.jpg,left,training,easy,4,,,,,
,,,,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,,,,,,,,,,,37.8876,1.3,39.187,39.187,40.1041,right,1,0.9103,,40.1041,41.1036,0,5,5,4,1,total,1,images/Ex7.jpg,right,training,easy,4,,,,,
,,,,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,,,,,,,,,,,41.104,0.5,41.6035,41.6035,42.2372,right,1,0.6211,,42.2372,43.2368,0,6,6,5,1,total,1,images/Ex7.jpg,right,training,easy,4,,,,,
,,,,,6400d919945d23676a68b781,001,28,Female,Luxembourg,MA,2024-02-26_17h19.21.420,CRL1e,2023.2.3,MacIntel,59.52380952,65dbad3905fde4fe1981dc61,65dcc804cf3073155f828e88,,,,,,,,,,,43.237,0.7,43.9367,43.9368,45.4537,right,1,1.5082,,45.4537,46.4534,0,7,7,6,1,total,1,images/Ex8.jpg,right,training,easy,4,,,,,
