infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0004,17.3219,space,17.2811,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,17.3221,69.5401,space,52.1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,69.5495,75.2813,space,5.7129,,75.2897,1.4,76.6869,76.6871,78.7528,left,1,2.0551,,78.7531,79.7428,0,0,0,0,1,total,1,images/Ex13.jpg,left,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,79.7439,0.5,80.2446,80.2447,82.2817,left,1,2.035,,82.2818,83.2721,0,1,1,1,1,total,1,images/Ex13.jpg,left,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,83.2726,0.7,83.9713,83.9713,85.1877,right,1,1.2081,,85.1877,86.1857,0,2,2,6,1,total,1,images/Ex16.jpg,right,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,86.1863,1,87.1844,87.1845,87.8851,right,1,0.6928,,87.8852,88.884,0,3,3,7,1,total,1,images/Ex16.jpg,right,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,88.885,0.6,89.482,89.482,90.4147,left,0,0.9272,,90.4149,91.4136,0,4,4,5,1,total,1,images/Ex15.jpg,right,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,91.4146,0.5,91.9128,91.9128,92.9284,left,1,1.0109,,92.9286,93.9282,0,5,5,2,1,total,1,images/Ex14.jpg,left,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,93.929,1.2,95.1259,95.1261,96.0432,left,1,0.9083,,96.0433,97.0409,0,6,6,3,1,total,1,images/Ex14.jpg,left,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,97.0417,1.3,98.3393,98.3393,99.0055,right,1,0.6623,,99.0056,100.0038,0,7,7,4,1,total,1,images/Ex15.jpg,right,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,100.0045,1.3,101.3028,101.3029,102.0687,right,1,0.755,,102.0688,103.0677,1,0,8,5,1,total,1,images/Ex15.jpg,right,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,103.0683,0.6,103.6664,103.6666,104.7155,left,1,1.0457,,104.7155,105.7141,1,1,9,2,1,total,1,images/Ex14.jpg,left,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,105.7144,0.7,106.4134,106.4134,107.529,left,1,1.1095,,107.5291,108.5279,1,2,10,0,1,total,1,images/Ex13.jpg,left,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,108.5285,1.4,109.9272,109.9274,110.7765,right,1,0.8364,,110.7768,111.7741,1,3,11,7,1,total,1,images/Ex16.jpg,right,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,111.7747,1.3,113.0732,113.0733,113.6896,right,1,0.608,,113.6897,114.6879,1,4,12,6,1,total,1,images/Ex16.jpg,right,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,114.6886,0.5,115.1878,115.188,115.9205,left,1,0.7252,,115.9205,116.9188,1,5,13,1,1,total,1,images/Ex13.jpg,left,training,easy,7,,,,,
,,,,,65a54037a9c2c5d66a3601b2,001,39,Male,British,Bachelors,2024-02-26_20h16.21.062,CRL1e,2023.2.3,Win32,60.60606061,65dbad3905fde4fe1981dc61,65dcf14ccf3073155f829cfd,,,,,,,,,,,116.9196,0.5,117.4179,117.4179,118.2512,left,1,0.824,,118.2513,119.2497,1,6,14,3,1,total,1,images/Ex14.jpg,left,training,easy,7,,,,,
