infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,5.223,space,5.0632,0.0007,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,5.2232,38.9198,space,33.5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,38.923,42.3259,space,3.2662,1E-04,42.3289,1.4,43.6475,43.6476,45.9672,right,0,2.3067,,45.9674,46.9994,0,0,0,0,1,partial,1,images/Ex5.jpg,left,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,46.9999,1.2,48.1649,48.1649,52.7589,right,1,4.5925,,52.7589,53.8058,0,1,1,6,1,partial,1,images/Ex8.jpg,right,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,53.8063,0.8,54.5477,54.5478,56.8728,right,1,2.3236,,56.8728,57.7705,0,2,2,4,1,partial,1,images/Ex7.jpg,right,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,57.7708,0.6,58.3516,58.3516,59.677,left,1,1.3242,,59.677,60.5853,0,3,3,3,1,partial,1,images/Ex6.jpg,left,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,60.5856,1.4,61.955,61.955,63.1778,right,1,1.2218,,63.1778,64.0954,0,4,4,7,1,partial,1,images/Ex8.jpg,right,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,64.0957,1.5,65.6084,65.6085,66.9609,left,0,1.3513,,66.9609,67.9986,0,5,5,5,1,partial,1,images/Ex7.jpg,right,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,67.9988,1,68.9024,68.9025,70.9097,right,0,2.0062,,70.9097,71.7977,0,6,6,2,1,partial,1,images/Ex6.jpg,left,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,71.7979,0.6,72.3797,72.3798,73.714,right,0,1.3332,,73.714,74.7497,0,7,7,1,1,partial,1,images/Ex5.jpg,left,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,74.7501,1,75.7722,75.7722,77.4343,left,1,1.6612,,77.4343,78.3256,1,0,8,2,1,partial,1,images/Ex6.jpg,left,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,78.3258,0.6,78.9078,78.9078,80.2602,right,1,1.3514,,80.2603,81.1574,1,1,9,5,1,partial,1,images/Ex7.jpg,right,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,81.1576,1,82.0471,82.0472,83.5591,left,0,1.511,,83.5592,84.4581,1,2,10,7,1,partial,1,images/Ex8.jpg,right,training,easy,2,,,,,
,,,,,57a78015454e5400015f57ec,001,,,,,2024-02-26_15h38.39.214,CRL1e,2023.2.3,Win32,7.10732054,65dbad3905fde4fe1981dc61,65dcb066f449c4ea1954853c,,,,,,,,,,,84.4584,0.7,85.0544,85.0544,86.5723,left,0,1.5172,,86.5724,87.4801,1,3,11,6,1,partial,1,images/Ex8.jpg,right,training,easy,2,,,,,
