infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.001,10.844,space,10.799,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,10.845,70.211,space,59.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,70.222,78.312,space,8.072,,78.321,1.2,79.513,79.513,80.932,left,1,1.397,,80.933,81.93,0,0,0,1,1,total,1,images/Ex13.jpg,left,training,easy,7,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,81.931,0.9,82.829,82.829,83.43,left,1,0.591,,83.43,84.43,0,1,1,0,1,total,1,images/Ex13.jpg,left,training,easy,7,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,84.431,0.7,85.129,85.13,85.679,right,0,0.541,,85.679,86.68,0,2,2,3,1,total,1,images/Ex14.jpg,left,training,easy,7,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,86.68,0.6,87.278,87.278,88.213,right,1,0.925,,88.213,89.213,0,3,3,6,1,total,1,images/Ex16.jpg,right,training,easy,7,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,89.214,1,90.214,90.214,90.73,left,1,0.503,,90.73,91.73,0,4,4,2,1,total,1,images/Ex14.jpg,left,training,easy,7,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,91.731,0.8,92.529,92.529,93.429,right,1,0.894,,93.429,94.43,0,5,5,4,1,total,1,images/Ex15.jpg,right,training,easy,7,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,94.431,0.8,95.231,95.231,95.847,right,1,0.604,,95.847,96.847,0,6,6,5,1,total,1,images/Ex15.jpg,right,training,easy,7,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,96.848,0.7,97.547,97.547,98.28,right,1,0.723,,98.281,99.28,0,7,7,7,1,total,1,images/Ex16.jpg,right,training,easy,7,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,99.281,1.2,100.481,100.481,100.863,left,1,0.379,,100.863,101.863,1,0,8,0,1,total,1,images/Ex13.jpg,left,training,easy,7,,,,,
,,,,,59ae8d282a78fd00010b80e7,001,40,Male,British,Bachelors,2024-02-26_20h16.03.290,CRL1e,2023.2.3,MacIntel,33.33333333,65dbad3905fde4fe1981dc61,65dcf14b71b3c7f5f10a3005,,,,,,,,,,,101.864,0.7,102.563,102.563,102.998,left,1,0.424,,102.998,103.997,1,1,9,3,1,total,1,images/Ex14.jpg,left,training,easy,7,,,,,
