infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,11.53,space,11.524,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,11.531,42.583,space,31.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,,,,,,42.585,44.745,space,2.159,,44.749,0.8,45.55,45.55,48.008,right,0,2.451,,48.008,49.009,0,0,0,3,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
,,,,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,,,,,,,,,,,49.009,1.5,50.508,50.508,52.042,left,1,1.532,,52.042,53.042,0,1,1,1,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,,,,,,,,,,,53.042,0.8,53.842,53.842,54.567,right,1,0.721,,54.567,55.567,0,2,2,5,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,,,,,,,,,,,55.568,1,56.568,56.568,58.001,left,0,1.429,,58.001,59.001,0,3,3,7,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,,,,,,,,,,,59.001,1.4,60.402,60.402,61.58,right,1,1.175,,61.58,62.577,0,4,4,4,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,,,,,,,,,,,62.577,1.3,63.876,63.876,65.047,right,1,1.167,,65.047,66.048,0,5,5,6,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,,,,,,,,,,,66.048,0.9,66.947,66.948,68.315,right,0,1.364,,68.315,69.315,0,6,6,0,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,59ccd702faf42e00012b68f5,001,28,Male,British,College,2024-02-26_16h20.08.399,CRL1e,2023.2.3,Win32,240.3846154,65dbad3905fde4fe1981dc61,65dcba48ca4804590ad253d3,,,,,,,,,,,69.315,1.3,70.614,70.614,72.273,left,1,1.654,,72.273,73.273,0,7,7,2,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
