infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,9.5245,space,9.4912,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,9.5247,40.892,space,31.3479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,,,,,,40.9007,57.209,space,16.2956,,57.2177,1.3,58.5088,58.5089,61.8924,right,0,3.3649,,61.8995,62.8922,0,0,0,1,1,partial,1,images/Ex1.jpg,left,training,easy,4,,,,,
,,,,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,,,,,,,,,,,62.8927,1.4,64.2924,64.2925,66.1091,left,1,1.8008,,66.1092,67.1092,0,1,1,2,1,partial,1,images/Ex2.jpg,left,training,easy,4,,,,,
,,,,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,,,,,,,,,,,67.1095,0.9,68.0089,68.0089,68.8257,left,0,0.8053,,68.8257,69.8255,0,2,2,7,1,partial,1,images/Ex4.jpg,right,training,easy,4,,,,,
,,,,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,,,,,,,,,,,69.826,0.7,70.5258,70.5258,71.3425,left,1,0.8032,,71.3425,72.3422,0,3,3,3,1,partial,1,images/Ex2.jpg,left,training,easy,4,,,,,
,,,,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,,,,,,,,,,,72.3426,0.7,73.0423,73.0424,73.9259,right,1,0.8716,,73.9259,74.9258,0,4,4,6,1,partial,1,images/Ex4.jpg,right,training,easy,4,,,,,
,,,,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,,,,,,,,,,,74.926,0.8,75.7258,75.7258,76.4593,left,1,0.7301,,76.4593,77.4591,0,5,5,0,1,partial,1,images/Ex1.jpg,left,training,easy,4,,,,,
,,,,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,,,,,,,,,,,77.4594,0.5,77.9593,77.9593,78.626,right,1,0.6657,,78.626,79.6258,0,6,6,5,1,partial,1,images/Ex3.jpg,right,training,easy,4,,,,,
,,,,,5c4f5967aac8be0001716a65,001,32,Male,Irish,Some College,2024-02-26_17h21.12.197,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcc80546794a057b7402bb,,,,,,,,,,,79.6261,1.2,80.8259,80.8259,81.4261,right,1,0.5981,,81.4261,82.426,0,7,7,4,1,partial,1,images/Ex3.jpg,right,training,easy,4,,,,,
