infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,38.506,space,38.4623,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,38.5062,123.6597,space,85.1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,123.6713,128.162,space,4.4703,,128.1718,0.9,129.0619,129.0621,132.9136,right,0,3.8461,,132.9205,133.9135,0,0,0,3,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,133.9139,0.6,134.5125,134.5126,135.5298,right,1,1.0145,,135.5299,136.53,0,1,1,4,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,136.5303,0.9,137.4311,137.4311,138.7653,right,0,1.3325,,138.7654,139.7651,0,2,2,0,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,139.7723,0.8,140.5654,140.5655,141.8325,right,1,1.2634,,141.8325,142.8319,0,3,3,5,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,142.8321,1,143.8331,143.8332,144.6995,left,1,0.8635,,144.6996,145.7005,0,4,4,2,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,145.7007,1,146.7006,146.7006,147.7513,left,0,1.0476,,147.7514,148.7506,0,5,5,7,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,148.7507,1.2,149.9517,149.9517,151.0191,left,1,1.0628,,151.0191,152.019,0,6,6,1,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,152.0192,0.7,152.7191,152.7192,154.0867,left,0,1.3644,,154.0867,155.0855,0,7,7,6,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,155.0858,1.2,156.287,156.287,157.1035,right,1,0.813,,157.1036,158.1041,1,0,8,7,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,158.1045,1,159.1035,159.1035,160.1545,left,0,1.0482,,160.1545,161.155,1,1,9,4,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,161.1552,0.6,161.7542,161.7542,162.9394,right,0,1.1814,,162.9394,163.9392,1,2,10,1,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,163.9395,0.6,164.5393,164.5394,165.6903,right,1,1.1471,,165.6903,166.6891,1,3,11,6,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,5ce9b0e4be5a6b00163f6870,001,57,male,United Kingdom,Bachelor ,2024-02-26_16h22.07.397,CRL1e,2023.2.3,MacIntel,59.88023952,65dbad3905fde4fe1981dc61,65dcba49fe55e98487e20ea7,,,,,,,,,,,166.6893,0.9,167.5904,167.5904,168.5082,left,1,0.917,,168.5083,169.5076,1,4,12,0,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
