infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,9.909,space,9.85,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,9.909,26.56,space,16.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,26.561,37.909,space,11.332,,37.912,0.8,38.709,38.709,43.859,left,1,5.137,,43.859,44.859,0,0,0,2,1,total,1,images/Ex10.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,44.859,0.6,45.458,45.458,46.393,right,0,0.927,,46.393,47.393,0,1,1,1,1,total,1,images/Ex9.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,47.393,0.9,48.293,48.293,48.792,right,1,0.487,,48.792,49.792,0,2,2,7,1,total,1,images/Ex12.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,49.793,0.6,50.392,50.392,51.142,right,0,0.738,,51.142,52.142,0,3,3,0,1,total,1,images/Ex9.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,52.142,1.4,53.542,53.543,54.142,left,0,0.587,,54.142,55.142,0,4,4,5,1,total,1,images/Ex11.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,55.142,0.9,56.042,56.042,56.492,left,0,0.444,,56.492,57.492,0,5,5,6,1,total,1,images/Ex12.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,57.492,1,58.492,58.492,59.093,left,0,0.588,,59.093,60.093,0,6,6,4,1,total,1,images/Ex11.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,60.093,1,61.093,61.093,61.709,right,0,0.608,,61.709,62.709,0,7,7,3,1,total,1,images/Ex10.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,62.709,1.2,63.908,63.908,64.426,left,0,0.505,,64.426,65.426,1,0,8,6,1,total,1,images/Ex12.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,65.426,0.9,66.326,66.326,67.159,right,0,0.824,,67.159,68.159,1,1,9,0,1,total,1,images/Ex9.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,68.159,0.9,69.059,69.059,69.642,right,1,0.577,,69.643,70.642,1,2,10,5,1,total,1,images/Ex11.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,70.642,1,71.642,71.642,72.192,right,0,0.536,,72.192,73.192,1,3,11,2,1,total,1,images/Ex10.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,73.192,1.1,74.292,74.292,74.759,right,1,0.464,,74.759,75.759,1,4,12,4,1,total,1,images/Ex11.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,75.759,1.4,77.159,77.159,77.692,left,1,0.527,,77.692,78.692,1,5,13,3,1,total,1,images/Ex10.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,78.693,0.7,79.392,79.392,80.042,left,1,0.638,,80.042,81.042,1,6,14,1,1,total,1,images/Ex9.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,81.042,0.8,81.842,81.842,82.575,right,1,0.725,,82.575,83.576,1,7,15,7,1,total,1,images/Ex12.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,83.576,0.7,84.275,84.275,84.792,right,0,0.516,,84.792,85.792,2,0,16,2,1,total,1,images/Ex10.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,85.792,1.1,86.892,86.892,87.542,left,1,0.639,,87.542,88.542,2,1,17,3,1,total,1,images/Ex10.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,88.542,1.1,89.642,89.642,90.409,right,0,0.757,,90.409,91.409,2,2,18,1,1,total,1,images/Ex9.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,91.409,1.1,92.509,92.509,93.158,right,1,0.637,,93.158,94.158,2,3,19,6,1,total,1,images/Ex12.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,94.159,0.8,94.959,94.959,95.475,left,0,0.515,,95.475,96.475,2,4,20,7,1,total,1,images/Ex12.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,96.476,1.2,97.675,97.676,98.142,left,1,0.454,,98.142,99.142,2,5,21,0,1,total,1,images/Ex9.jpg,left,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,99.142,1,100.142,100.142,100.559,left,0,0.411,,100.559,101.559,2,6,22,4,1,total,1,images/Ex11.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,101.56,0.9,102.459,102.459,102.892,left,0,0.43,,102.892,103.892,2,7,23,5,1,total,1,images/Ex11.jpg,right,training,easy,5,,,,,
,,,,,5d49d17b3dad1f0001e2aba1,001,37,Male,UK,2-Year College,2024-02-26_17h52.07.959,CRL1e,2023.2.3,Win32,60.0240096,65dbad3905fde4fe1981dc61,65dccf74ad2a4a760887f8af,,,,,,,,,,,103.892,0.6,104.492,104.492,105.192,left,1,0.691,,105.192,106.192,3,0,24,1,1,total,1,images/Ex9.jpg,left,training,easy,5,,,,,
