infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0004,7.5062,space,7.2713,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,7.5068,145.6095,space,137.7816,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,,,,,,145.6814,195.2456,space,48.8803,0.0006,195.3019,1.4,196.7392,196.7394,204.5826,right,0,7.8233,0.0005,204.6057,205.444,0,0,0,3,1,total,1,images/Ex2.jpg,left,training,easy,2,,,,,
,,,,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,,,,,,,,,,,205.446,1.4,206.8694,206.8696,209.8111,right,1,2.936,0.0004,209.8113,210.8342,0,1,1,6,1,total,1,images/Ex4.jpg,right,training,easy,2,,,,,
,,,,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,,,,,,,,,,,210.8355,0.7,211.3357,211.3357,214.6391,right,1,3.3001,0.0006,214.6393,215.7463,0,2,2,7,1,total,1,images/Ex4.jpg,right,training,easy,2,,,,,
,,,,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,,,,,,,,,,,215.7472,0.8,216.4819,216.4821,218.4549,right,1,1.97,0.0004,218.455,219.3963,0,3,3,4,1,total,1,images/Ex3.jpg,right,training,easy,2,,,,,
,,,,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,,,,,,,,,,,219.3969,1.2,220.5022,220.5023,222.5045,right,0,1.9993,0.0003,222.5046,223.3828,0,4,4,2,1,total,1,images/Ex2.jpg,left,training,easy,2,,,,,
,,,,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,,,,,,,,,,,223.3835,1.4,224.7649,224.7649,226.9068,right,0,2.1393,0.0004,226.9069,227.9182,0,5,5,1,1,total,1,images/Ex1.jpg,left,training,easy,2,,,,,
,,,,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,,,,,,,,,,,227.919,1.3,228.8793,228.8794,231.1186,left,0,2.2356,0.0004,231.1187,232.12,0,6,6,5,1,total,1,images/Ex3.jpg,right,training,easy,2,,,,,
,,,,,5d6ad36076cca6001a66d89e,001,48,male,British,a levels,2024-02-26_15h40.15.598,CRL1e,2023.2.3,Win32,6.650881907,65dbad3905fde4fe1981dc61,65dcb0686b4fdf8f941a345d,,,,,,,,,,,232.1209,1,233.0725,233.0727,235.889,right,0,2.8135,0.0002,235.8891,236.7288,0,7,7,0,1,total,1,images/Ex1.jpg,left,training,easy,2,,,,,
