infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0004,6.3623,space,6.2657,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,6.3626,32.3777,space,25.9841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,32.3989,34.6077,space,2.1882,,34.6173,1.2,35.8219,35.8221,36.9076,left,0,1.0744,,36.9079,37.9068,0,0,0,5,1,partial,1,images/Ex11.jpg,right,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,37.9086,0.6,38.5065,38.5068,39.0085,right,1,0.4991,,39.0087,40.0038,0,1,1,4,1,partial,1,images/Ex11.jpg,right,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,40.0048,0.7,40.704,40.7041,41.4258,left,1,0.7193,,41.426,42.4218,0,2,2,2,1,partial,1,images/Ex10.jpg,left,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,42.4225,0.9,43.3235,43.3235,44.0097,left,0,0.6845,,44.0098,45.0041,0,3,3,6,1,partial,1,images/Ex12.jpg,right,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,45.0046,1.1,46.1041,46.1041,46.898,right,0,0.7925,,46.8981,47.8879,0,4,4,0,1,partial,1,images/Ex9.jpg,left,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,47.8885,0.6,48.4875,48.4876,49.3234,left,1,0.8334,,49.3235,50.3232,0,5,5,3,1,partial,1,images/Ex10.jpg,left,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,50.3239,1.1,51.4232,51.4233,51.878,right,1,0.4531,,51.8782,52.8697,0,6,6,7,1,partial,1,images/Ex12.jpg,right,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,52.8712,0.5,53.3693,53.3695,54.4963,left,1,1.1244,,54.4963,55.4863,0,7,7,1,1,partial,1,images/Ex9.jpg,left,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,55.4877,0.8,56.2864,56.2865,56.8402,right,1,0.551,,56.8402,57.8362,1,0,8,5,1,partial,1,images/Ex11.jpg,right,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,57.8371,0.6,58.4359,58.436,58.9941,right,0,0.5561,,58.9941,59.9893,1,1,9,1,1,partial,1,images/Ex9.jpg,left,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,59.9898,1.1,61.0892,61.0892,61.8929,left,1,0.8011,,61.893,62.8895,1,2,10,3,1,partial,1,images/Ex10.jpg,left,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,62.8901,0.5,63.3893,63.3894,63.8732,right,0,0.4781,,63.8732,64.8731,1,3,11,0,1,partial,1,images/Ex9.jpg,left,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,64.8736,1.3,66.1722,66.1722,67.123,right,1,0.9468,,67.123,68.1223,1,4,12,6,1,partial,1,images/Ex12.jpg,right,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,68.1228,1.2,69.3226,69.3227,69.9567,left,1,0.629,,69.9568,70.9558,1,5,13,2,1,partial,1,images/Ex10.jpg,left,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,70.9564,0.9,71.8555,71.8556,72.4814,right,1,0.6237,,72.4815,73.4723,1,6,14,4,1,partial,1,images/Ex11.jpg,right,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,73.4728,0.6,74.0723,74.0723,74.8397,left,0,0.7626,,74.8397,75.8398,1,7,15,7,1,partial,1,images/Ex12.jpg,right,training,easy,8,,,,,
,,,,,5d8cef3c28e183001a335ab0,001,36,f,UK,Bsc degree,2024-02-26_20h44.38.725,CRL1e,2023.2.3,Win32,59.52380952,65dbad3905fde4fe1981dc61,65dcf7e1b170f780eb0bd465,,,,,,,,,,,75.8409,0.9,76.7394,76.7395,77.5396,left,1,0.7963,,77.5396,78.5389,2,0,16,3,1,partial,1,images/Ex10.jpg,left,training,easy,8,,,,,
