infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,25.7398,space,25.6191,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,25.74,38.3292,space,12.4594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,38.3375,52.3567,space,13.8498,,52.3714,1,53.3989,53.399,55.4102,left,1,2.0043,,55.4105,56.3437,0,0,0,3,1,total,1,images/Ex2.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,56.3452,1.2,57.4799,57.4799,58.6968,right,0,1.2155,,58.6968,59.7068,0,1,1,1,1,total,1,images/Ex1.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,59.7071,1,60.7002,60.7002,61.4662,left,0,0.7647,,61.4662,62.3854,0,2,2,4,1,total,1,images/Ex3.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,62.3859,1.3,63.6234,63.6234,64.7825,right,0,1.1583,,64.7825,65.7079,0,3,3,0,1,total,1,images/Ex1.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,65.7082,0.7,66.3564,66.3564,67.9523,right,1,1.5947,,67.9524,68.8912,0,4,4,5,1,total,1,images/Ex3.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,68.8915,0.6,69.4052,69.4052,70.4366,left,1,1.0302,,70.4367,71.3827,0,5,5,2,1,total,1,images/Ex2.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,71.383,1.1,72.4721,72.4721,73.5341,right,1,1.0609,,73.5341,74.4324,0,6,6,7,1,total,1,images/Ex4.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,74.4328,0.5,74.9591,74.9591,75.6922,right,1,0.7322,,75.6923,76.6085,0,7,7,6,1,total,1,images/Ex4.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,76.6089,0.9,77.5146,77.5147,78.6829,right,0,1.1671,,78.6831,79.6116,1,0,8,1,1,total,1,images/Ex1.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,79.612,0.9,80.5232,80.5233,82.6967,left,1,2.1726,,82.6968,83.6558,1,1,9,3,1,total,1,images/Ex2.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,83.656,1.3,84.9732,84.9732,86.288,right,1,1.3136,,86.2881,87.3283,1,2,10,4,1,total,1,images/Ex3.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,87.3287,1.5,88.8032,88.8032,90.1728,left,0,1.3683,,90.1729,91.0911,1,3,11,7,1,total,1,images/Ex4.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,91.0914,0.7,91.7468,91.7469,93.1904,left,1,1.4427,,93.1905,94.1274,1,4,12,2,1,total,1,images/Ex2.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,94.1278,1.3,95.4367,95.4368,96.4792,right,1,1.0414,,96.4792,97.4998,1,5,13,5,1,total,1,images/Ex3.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,97.5003,0.8,98.3026,98.3026,101.0501,left,1,2.7462,,101.0501,101.9929,1,6,14,0,1,total,1,images/Ex1.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,101.9932,1.3,103.2363,103.2363,104.2137,right,1,0.9766,,104.2137,105.2423,1,7,15,6,1,total,1,images/Ex4.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,105.2427,0.6,105.8202,105.8202,107.574,right,1,1.7531,,107.574,108.5113,2,0,16,7,1,total,1,images/Ex4.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,108.5117,0.6,109.0501,109.0501,110.6891,right,1,1.6379,,110.6891,111.6844,2,1,17,6,1,total,1,images/Ex4.jpg,right,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,111.6955,0.6,112.2311,112.2313,114.8333,left,1,2.6011,,114.8333,115.771,2,2,18,0,1,total,1,images/Ex1.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,115.7714,1,116.6762,116.6762,117.5577,left,1,0.8806,,117.5578,118.4884,2,3,19,1,1,total,1,images/Ex1.jpg,left,training,easy,1,,,,,
,,,,,60282d2ffedb021342e2df15,001,22,female,british,college,2024-02-26_01h32.28.676,CRL1e,2023.2.3,Win32,10.01001001,65dbad3905fde4fe1981dc61,65dbea0f1a2dc71c38d69c25,,,,,,,,,,,118.4888,1.3,119.6764,119.6764,120.6188,right,1,0.9411,,120.6191,121.5514,2,4,20,4,1,total,1,images/Ex3.jpg,right,training,easy,1,,,,,
