infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,28.2632,space,28.2421,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,28.2633,54.7872,space,26.5081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,,,,,,54.7952,57.5634,space,2.7561,,57.5656,0.6,58.1695,58.1695,60.1174,left,1,1.9462,,60.1175,61.1209,0,0,0,1,1,partial,1,images/Ex5.jpg,left,training,easy,2,,,,,
,,,,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,,,,,,,,,,,61.1213,0.5,61.6137,61.6137,62.6729,left,0,1.0583,,62.673,63.6696,0,1,1,5,1,partial,1,images/Ex7.jpg,right,training,easy,2,,,,,
,,,,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,,,,,,,,,,,63.6699,1.2,64.8723,64.8724,65.9223,left,1,1.0493,,65.9224,66.9143,0,2,2,3,1,partial,1,images/Ex6.jpg,left,training,easy,2,,,,,
,,,,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,,,,,,,,,,,66.9146,1.4,68.3223,68.3224,68.9391,left,0,0.6162,,68.9392,69.9373,0,3,3,7,1,partial,1,images/Ex8.jpg,right,training,easy,2,,,,,
,,,,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,,,,,,,,,,,69.9374,0.9,70.8397,70.8397,71.7817,left,1,0.9383,,71.7818,72.7816,0,4,4,2,1,partial,1,images/Ex6.jpg,left,training,easy,2,,,,,
,,,,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,,,,,,,,,,,72.7818,1.4,74.1853,74.1853,74.6988,right,1,0.505,,74.6988,75.6891,0,5,5,6,1,partial,1,images/Ex8.jpg,right,training,easy,2,,,,,
,,,,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,,,,,,,,,,,75.6892,1.2,76.8856,76.8857,77.6659,left,0,0.7758,,77.6659,78.6656,0,6,6,4,1,partial,1,images/Ex7.jpg,right,training,easy,2,,,,,
,,,,,6047bf2d4d6168063087fe8e,001,31,Male,British,Batchelors Degree ,2024-02-26_15h38.51.703,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcb06601b13e59954b8447,,,,,,,,,,,78.6659,1,79.6739,79.6739,80.5241,left,1,0.8497,,80.5241,81.5231,0,7,7,0,1,partial,1,images/Ex5.jpg,left,training,easy,2,,,,,
