infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,3.8671,space,3.8361,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,3.8674,13.8344,space,9.9554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,13.8375,17.6006,space,3.7541,,17.6042,0.8,18.4007,18.4009,20.5347,left,1,2.1217,,20.5349,21.5343,0,0,0,1,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,21.5351,0.8,22.3339,22.334,23.3844,left,0,1.0451,,23.3845,24.384,0,1,1,7,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,24.3845,1,25.3842,25.3842,26.3677,right,0,0.9784,,26.3677,27.3673,0,2,2,3,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,27.3677,1.2,28.5677,28.5677,29.301,left,1,0.7246,,29.301,30.3007,0,3,3,0,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,30.3011,1,31.3007,31.3008,31.9007,right,0,0.5968,,31.9008,32.9008,0,4,4,2,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,32.9012,1.1,34.0006,34.0006,34.6507,left,0,0.6441,,34.6507,35.6507,0,5,5,6,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,35.6511,1.2,36.8508,36.8508,37.901,left,0,1.0382,,37.9011,38.9009,0,6,6,5,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,38.9012,1.3,40.2009,40.2009,41.0509,right,1,0.8387,,41.051,42.0508,0,7,7,4,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,42.051,1,43.0509,43.0509,43.7342,right,1,0.6718,,43.7342,44.7346,1,0,8,4,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,44.735,1,45.7345,45.7345,46.8009,right,1,1.0602,,46.8009,47.8012,1,1,9,6,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,47.8016,1.1,48.9009,48.901,49.9011,right,0,0.9887,,49.9012,50.901,1,2,10,3,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,50.9013,1.4,52.301,52.301,53.0847,left,1,0.7723,,53.0847,54.0847,1,3,11,2,1,partial,1,images/Ex2.jpg,left,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,54.085,0.8,54.8846,54.8846,55.7845,right,1,0.8909,,55.7846,56.7845,1,4,12,5,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,56.7848,1.5,58.2845,58.2845,58.7846,left,1,0.4947,,58.7846,59.7845,1,5,13,0,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,59.7849,1,60.7848,60.7848,61.3179,left,1,0.5249,,61.3179,62.3182,1,6,14,1,1,partial,1,images/Ex1.jpg,left,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,62.3185,0.8,63.1182,63.1182,64.3681,left,0,1.2384,,64.3681,65.3682,1,7,15,7,1,partial,1,images/Ex4.jpg,right,training,easy,3,,,,,
,,,,,60723c224e9193e5d5fe5712,001,32,non binary,italian,some university no degree,2024-02-26_16h20.55.391,CRL1e,2023.2.3,Win32,59.88023952,65dbad3905fde4fe1981dc61,65dcba491eb656fe97f90d76,,,,,,,,,,,65.3687,1.2,66.5683,66.5683,67.3517,right,1,0.7743,,67.3518,68.3516,2,0,16,4,1,partial,1,images/Ex3.jpg,right,training,easy,3,,,,,
