infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,422.1098,space,422.0878,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,422.1099,454.4223,space,32.2913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,454.4289,455.9955,space,1.5517,,455.9971,0.9,456.8881,456.8881,457.7425,left,1,0.8514,,457.7426,458.7427,0,0,0,1,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,458.743,0.7,459.4356,459.4356,460.1161,left,1,0.6684,,460.1161,461.1154,0,1,1,0,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,461.1156,1.5,462.6101,462.6101,463.1036,right,1,0.4843,,463.1036,464.1031,0,2,2,5,1,partial,1,images/Ex15.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,464.1033,0.5,464.5972,464.5972,465.3308,left,0,0.7251,,465.3308,466.3302,0,3,3,6,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,466.3304,1.4,467.7313,467.7313,468.6781,right,0,0.9445,,468.6781,469.6776,0,4,4,2,1,partial,1,images/Ex14.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,469.6778,1.1,470.7711,470.7711,471.9847,right,1,1.2128,,471.9847,472.985,0,5,5,4,1,partial,1,images/Ex15.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,472.9851,0.8,473.7859,473.786,474.5723,left,0,0.785,,474.5723,475.5722,0,6,6,7,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,475.5723,1.4,476.9733,476.9734,477.9995,right,0,1.0164,,477.9996,479,0,7,7,3,1,partial,1,images/Ex14.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,479.0002,0.9,479.893,479.893,480.6544,left,1,0.7524,,480.6544,481.654,1,0,8,3,1,partial,1,images/Ex14.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,481.6542,0.9,482.5469,482.5469,483.3739,left,0,0.8201,,483.3739,484.3749,1,1,9,4,1,partial,1,images/Ex15.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,484.3751,0.9,485.2684,485.2684,486.4554,left,0,1.183,,486.4554,487.4554,1,2,10,7,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,487.4555,1,488.4554,488.4554,489.2553,left,0,0.7966,,489.2553,490.2557,1,3,11,5,1,partial,1,images/Ex15.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,490.2559,1.1,491.3488,491.3488,492.0827,left,1,0.7265,,492.0827,493.0826,1,4,12,1,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,493.0828,1.2,494.2838,494.2838,494.8433,left,1,0.5587,,494.8433,495.8436,1,5,13,0,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,495.8438,0.6,496.4433,496.4434,497.1506,right,0,0.6966,,497.1506,498.1511,1,6,14,2,1,partial,1,images/Ex14.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,498.1512,0.5,498.6448,498.6448,499.4176,right,1,0.7646,,499.4177,500.4175,1,7,15,6,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,500.4177,0.7,501.1115,501.1115,502.1384,left,0,1.0237,,502.1384,503.1391,2,0,16,4,1,partial,1,images/Ex15.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,503.1393,1.2,504.3391,504.3391,505.1262,right,0,0.7852,,505.1262,506.1263,2,1,17,2,1,partial,1,images/Ex14.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,506.1265,0.8,506.9266,506.9266,508.1004,left,0,1.1693,,508.1004,509.0995,2,2,18,5,1,partial,1,images/Ex15.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,509.0997,1.5,510.594,510.594,512.0603,right,0,1.4602,,512.0603,513.0607,2,3,19,3,1,partial,1,images/Ex14.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,513.0609,0.7,513.7538,513.7538,514.3279,left,1,0.5723,,514.3279,515.3284,2,4,20,1,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,515.3286,1,516.3283,516.3283,516.8756,left,1,0.5402,,516.8756,517.8757,2,5,21,0,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,517.8759,1.3,519.1686,519.1686,520.1554,right,1,0.9858,,520.1554,521.1564,2,6,22,7,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,521.1565,0.6,521.7559,521.7559,522.276,right,1,0.5133,,522.276,523.2769,2,7,23,6,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,523.2771,0.8,524.0768,524.0768,524.7968,left,1,0.7169,,524.7968,525.7966,3,0,24,3,1,partial,1,images/Ex14.jpg,left,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,525.7969,1,526.7967,526.7967,527.4912,right,1,0.6938,,527.4912,528.4912,3,1,25,7,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,60d2c59451b12e36fb281477,001,29,Male,United Kingdom,Master,2024-02-26_17h51.28.210,CRL1e,2023.2.3,MacIntel,74.07407407,65dbad3905fde4fe1981dc61,65dccf7101b13e59954b8f94,,,,,,,,,,,528.4913,1,529.4908,529.4909,530.3314,right,1,0.8331,,530.3314,531.332,3,2,26,6,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
