infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,4.7545,space,4.7446,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,4.7546,33.1794,space,28.4163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,,,,,,33.1816,38.2583,space,5.0685,,38.2603,0.5,38.7624,38.7626,40.9076,right,0,2.1382,,40.9077,41.9077,0,0,0,0,1,partial,1,images/Ex5.jpg,left,training,easy,2,,,,,
,,,,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,,,,,,,,,,,41.9082,1.3,43.2048,43.2048,44.7204,left,0,1.51,,44.7204,45.7206,0,1,1,6,1,partial,1,images/Ex8.jpg,right,training,easy,2,,,,,
,,,,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,,,,,,,,,,,45.721,1.3,47.0188,47.019,48.097,right,0,1.0737,,48.0971,49.0973,0,2,2,2,1,partial,1,images/Ex6.jpg,left,training,easy,2,,,,,
,,,,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,,,,,,,,,,,49.0977,1.1,50.1946,50.1946,51.2495,right,0,1.0516,,51.2495,52.2497,0,3,3,1,1,partial,1,images/Ex5.jpg,left,training,easy,2,,,,,
,,,,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,,,,,,,,,,,52.2499,1.1,53.3469,53.3469,54.3001,right,1,0.9526,,54.3001,55.299,0,4,4,5,1,partial,1,images/Ex7.jpg,right,training,easy,2,,,,,
,,,,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,,,,,,,,,,,55.2992,0.8,56.0991,56.0991,57.6147,right,1,1.5126,,57.6147,58.6149,0,5,5,7,1,partial,1,images/Ex8.jpg,right,training,easy,2,,,,,
,,,,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,,,,,,,,,,,58.6195,0.5,59.118,59.118,59.9061,left,1,0.7847,,59.9062,60.9064,0,6,6,3,1,partial,1,images/Ex6.jpg,left,training,easy,2,,,,,
,,,,,60e3b450cc89a0046b21c5bc,001,42,male,British,BA (Hons),2024-02-26_15h38.46.236,CRL1e,2023.2.3,Win32,163.9344262,65dbad3905fde4fe1981dc61,65dcb0653076d70c85c23205,,,,,,,,,,,60.9066,0.8,61.7069,61.7069,63.0827,left,0,1.3706,,63.0828,64.084,0,7,7,4,1,partial,1,images/Ex7.jpg,right,training,easy,2,,,,,
