infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,45.37,space,45.314,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,45.371,83.996,space,38.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,,,,,,84.036,133.126,space,49.068,,133.171,0.5,133.674,133.674,137.756,left,0,4.051,,137.782,138.751,0,0,0,7,1,partial,1,images/Ex12.jpg,right,training,easy,8,,,,,
,,,,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,,,,,,,,,,,138.756,0.8,139.55,139.55,140.823,right,1,1.272,,140.823,141.814,0,1,1,6,1,partial,1,images/Ex12.jpg,right,training,easy,8,,,,,
,,,,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,,,,,,,,,,,141.816,0.8,142.613,142.613,144.278,left,1,1.654,,144.278,145.276,0,2,2,2,1,partial,1,images/Ex10.jpg,left,training,easy,8,,,,,
,,,,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,,,,,,,,,,,145.308,1.1,146.41,146.41,147.458,left,1,1.039,,147.458,148.457,0,3,3,3,1,partial,1,images/Ex10.jpg,left,training,easy,8,,,,,
,,,,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,,,,,,,,,,,148.458,1.1,149.557,149.558,150.694,right,1,1.134,,150.694,151.688,0,4,4,5,1,partial,1,images/Ex11.jpg,right,training,easy,8,,,,,
,,,,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,,,,,,,,,,,151.689,1.3,152.99,152.99,153.874,right,0,0.882,,153.874,154.867,0,5,5,0,1,partial,1,images/Ex9.jpg,left,training,easy,8,,,,,
,,,,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,,,,,,,,,,,154.869,1.3,156.172,156.172,157.237,left,1,1.063,,157.237,158.231,0,6,6,1,1,partial,1,images/Ex9.jpg,left,training,easy,8,,,,,
,,,,,632222532c12ab0ab7ca00bd,001,30,Male,British,GCSE Level 2 NVQ AS,2024-02-26_20h43.44.299,CRL1e,2023.2.3,Win32,55.55555556,65dbad3905fde4fe1981dc61,65dcf750b67014841028363a,,,,,,,,,,,158.231,1.4,159.636,159.636,160.478,right,1,0.833,,160.479,161.478,0,7,7,4,1,partial,1,images/Ex11.jpg,right,training,easy,8,,,,,
