infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,13.7186,space,13.6948,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,13.7188,61.1006,space,47.3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,,,,,,61.1038,64.8573,space,3.7229,,64.8613,0.9,65.7588,65.759,67.3675,left,0,1.6004,,67.3678,68.3637,0,0,0,6,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,,,,,,,,,,,68.3645,1.3,69.654,69.654,70.885,left,0,1.2272,,70.8851,71.8747,0,1,1,5,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,,,,,,,,,,,71.8753,1.4,73.2773,73.2773,74.6974,left,1,1.4191,,74.6974,75.6937,0,2,2,0,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,,,,,,,,,,,75.6943,1,76.684,76.684,78.2156,right,0,1.5179,,78.2157,79.2169,0,3,3,2,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,,,,,,,,,,,79.2173,0.8,80.0185,80.0185,81.6218,right,1,1.5988,,81.6218,82.6261,0,4,4,7,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,,,,,,,,,,,82.6266,1.2,83.8285,83.8285,84.8445,left,1,1.0047,,84.8446,85.8338,0,5,5,1,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,,,,,,,,,,,85.8342,1.1,86.9312,86.9313,87.9218,right,0,0.9893,,87.9218,88.9182,0,6,6,3,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,639f294882a3797f77a3dd81,001,52,male,uk,high school,2024-02-26_18h16.46.223,CRL1e,2023.2.3,Win32,60.24096386,65dbad3905fde4fe1981dc61,65dcd56929fb92e03946a9fd,,,,,,,,,,,88.9187,0.9,89.8197,89.8197,90.7218,right,1,0.8936,,90.7218,91.7232,0,7,7,4,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
