infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,13.667,space,13.644,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,13.667,44.509,space,30.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,44.513,48.143,space,3.624,,48.15,0.8,48.944,48.944,50.012,left,0,1.062,,50.012,51.012,0,0,0,6,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,51.013,1.2,52.213,52.214,53.098,right,0,0.87,,53.098,54.098,0,1,1,2,1,partial,1,images/Ex14.jpg,left,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,54.099,0.7,54.799,54.799,55.766,left,0,0.958,,55.767,56.767,0,2,2,4,1,partial,1,images/Ex15.jpg,right,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,56.768,1,57.769,57.769,58.552,left,0,0.779,,58.552,59.552,0,3,3,5,1,partial,1,images/Ex15.jpg,right,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,59.553,0.7,60.254,60.254,61.554,left,1,1.295,,61.554,62.554,0,4,4,3,1,partial,1,images/Ex14.jpg,left,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,62.556,0.5,63.056,63.056,63.939,right,1,0.871,,63.939,64.94,0,5,5,7,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,64.941,0.9,65.841,65.842,66.875,right,0,1.021,,66.875,67.876,0,6,6,0,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,67.876,1.3,69.177,69.178,70.011,left,1,0.827,,70.011,71.012,0,7,7,1,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,71.013,1.3,72.313,72.313,73.347,left,0,1.021,,73.347,74.348,1,0,8,5,1,partial,1,images/Ex15.jpg,right,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,74.348,0.6,74.948,74.948,76.249,left,1,1.289,,76.249,77.25,1,1,9,0,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,77.251,0.9,78.151,78.151,79.051,right,1,0.893,,79.051,80.052,1,2,10,7,1,partial,1,images/Ex16.jpg,right,training,easy,5,,,,,
,,,,,6413603a62c72120012e05be,001,20,Male,British,High School,2024-02-26_17h51.11.937,CRL1e,2023.2.3,Win32,59.95203837,65dbad3905fde4fe1981dc61,65dccf748945b111c50202d8,,,,,,,,,,,80.052,1.2,81.254,81.254,81.97,right,0,0.711,,81.97,82.972,1,3,11,1,1,partial,1,images/Ex13.jpg,left,training,easy,5,,,,,
