infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,8.9663,space,8.9235,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,8.967,12.1489,space,3.1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,,,,,,12.1692,17.7265,space,5.5303,,17.7775,0.8,18.5753,18.5767,67.4679,right,1,48.8484,,67.5101,68.4614,0,0,0,6,1,partial,1,images/Ex12.jpg,right,training,easy,8,,,,,
,,,,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,,,,,,,,,,,68.4648,0.6,69.0604,69.0605,71.892,right,0,2.8218,,71.8925,72.8957,0,1,1,3,1,partial,1,images/Ex10.jpg,left,training,easy,8,,,,,
,,,,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,,,,,,,,,,,72.8969,1.5,74.3886,74.3888,77.6364,right,1,3.2361,,77.6367,78.6344,0,2,2,4,1,partial,1,images/Ex11.jpg,right,training,easy,8,,,,,
,,,,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,,,,,,,,,,,78.6715,1,79.6666,79.6667,82.4736,left,1,2.8026,,82.4737,83.4632,0,3,3,0,1,partial,1,images/Ex9.jpg,left,training,easy,8,,,,,
,,,,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,,,,,,,,,,,83.4984,0.7,84.1958,84.1958,86.9937,left,1,2.7874,,86.994,87.9925,0,4,4,2,1,partial,1,images/Ex10.jpg,left,training,easy,8,,,,,
,,,,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,,,,,,,,,,,87.9941,1.2,89.1926,89.1927,91.3259,right,1,2.1186,,91.3264,92.3214,0,5,5,5,1,partial,1,images/Ex11.jpg,right,training,easy,8,,,,,
,,,,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,,,,,,,,,,,92.3586,1.1,93.4537,93.4538,95.5374,left,1,2.0717,,95.5378,96.5347,0,6,6,1,1,partial,1,images/Ex9.jpg,left,training,easy,8,,,,,
,,,,,65d88c96834862408313a6c4,001,33,Male,Nigeria,B.Sc,2024-02-26_21h43.05.618,CRL1e,2023.2.3,Win32,58.82352941,65dbad3905fde4fe1981dc61,65dcf7514b7aacd5998af130,,,,,,,,,,,96.578,1.2,97.7668,97.7668,99.5158,left,0,1.7411,,99.5162,100.5141,0,7,7,7,1,partial,1,images/Ex12.jpg,right,training,easy,8,,,,,
