infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,8.0249,space,7.9957,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,8.0252,47.3443,space,39.2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,47.3552,52.5447,space,5.1688,,52.5553,1,53.5448,53.5451,55.4282,right,1,1.8661,,55.4284,56.4274,0,0,0,6,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,56.4279,1.4,57.8276,57.8277,59.4782,left,1,1.6429,,59.4782,60.4781,0,1,1,10,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,60.4785,1,61.4773,61.4773,62.8116,right,0,1.3291,,62.8116,63.8115,0,2,2,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,63.8118,1.3,65.1112,65.1112,66.9117,right,1,1.7938,,66.9117,67.9116,0,3,3,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,67.9182,1.4,69.311,69.311,70.8123,left,0,1.5002,,70.8123,71.8122,0,4,4,12,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,71.8198,1.2,73.0126,73.0126,74.2455,right,0,1.2212,,74.2455,75.2457,0,5,5,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,75.246,0.6,75.8456,75.8456,78.3288,right,1,2.4724,,78.3289,79.3289,0,6,6,15,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,79.3292,1.4,80.7285,80.7286,82.2791,left,0,1.5416,,82.2791,83.2793,0,7,7,4,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,83.2795,0.5,83.7794,83.7795,84.9294,left,1,1.1449,,84.9294,85.9292,0,8,8,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,85.9296,0.7,86.6302,86.6302,87.5963,right,0,0.9577,,87.5963,88.5967,0,9,9,2,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,88.5971,1,89.5965,89.5966,90.9468,right,1,1.3458,,90.9469,91.9461,0,10,10,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,91.9465,0.9,92.847,92.847,94.3463,right,0,1.4914,,94.3463,95.3464,0,11,11,0,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,95.3467,1.3,96.6472,96.6472,98.9303,right,0,2.2751,,98.9304,99.93,0,12,12,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,99.9381,0.8,100.7303,100.7304,102.38,left,0,1.6379,,102.38,103.3805,0,13,13,14,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,103.3812,0.8,104.1806,104.1808,105.4973,right,0,1.3071,,105.4973,106.4967,0,14,14,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,106.4971,1.2,107.6981,107.6981,108.8965,right,1,1.1863,,108.8966,109.8974,0,15,15,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,109.8979,0.8,110.6978,110.6978,111.3806,right,1,0.681,,111.3806,112.381,1,0,16,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,112.3814,0.5,112.881,112.8811,114.5483,left,1,1.6635,,114.5483,115.5479,1,1,17,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,115.5545,0.8,116.3481,116.3481,117.7478,left,0,1.3934,,117.7478,118.7482,1,2,18,15,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,118.7486,1.4,120.1489,120.1489,121.4316,left,1,1.2792,,121.4317,122.4319,1,3,19,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,122.4323,1,123.4315,123.4315,124.5816,right,1,1.1417,,124.5816,125.582,1,4,20,12,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,125.5907,0.9,126.4816,126.4816,127.4155,right,1,0.925,,127.4155,128.4153,1,5,21,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,128.4157,1.3,129.7154,129.7154,130.9482,left,1,1.2278,,130.9483,131.949,1,6,22,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,131.9494,0.8,132.7491,132.7491,134.3826,right,1,1.6229,,134.3826,135.3825,1,7,23,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,135.383,0.7,136.0825,136.0826,137.5328,left,1,1.4392,,137.5328,138.5325,1,8,24,2,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,138.5329,1.3,139.8324,139.8324,140.8492,left,1,1.0138,,140.8492,141.8495,1,9,25,10,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,141.8499,0.9,142.7494,142.7494,143.7158,right,0,0.9608,,143.7158,144.7165,1,10,26,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,5a31373183019b00012f6322,001,40,female,english,high school,2024-03-06_14h32.25.575,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87e4ce20711f8bf42deb8,,,,,,,,,,,144.7168,1.1,145.8162,145.8162,147.199,right,0,1.382,,147.199,148.1996,1,11,27,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
