infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0,3.479,space,3.432,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,3.479,9.718,space,6.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,,,,,,9.72,11.811,space,2.078,,11.816,0.8,12.617,12.617,40.892,left,1,28.264,,40.892,41.892,0,0,0,2,1,partial,1,images/Ex3.jpg,left,training,hard,3,,,,,
,,,,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,,,,,,,,,,,41.894,1.2,43.092,43.092,44.022,right,0,0.925,,44.022,45.022,0,1,1,3,1,partial,1,images/Ex4.jpg,left,training,hard,3,,,,,
,,,,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,,,,,,,,,,,45.024,0.8,45.821,45.821,47.929,right,1,2.104,,47.929,48.924,0,2,2,7,1,partial,1,images/Ex8.jpg,right,training,hard,3,,,,,
,,,,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,,,,,,,,,,,48.924,1,49.924,49.924,50.642,left,0,0.713,,50.643,51.638,0,3,3,4,1,partial,1,images/Ex5.jpg,right,training,hard,3,,,,,
,,,,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,,,,,,,,,,,51.639,1.4,53.038,53.038,53.926,right,1,0.882,,53.926,54.922,0,4,4,14,1,partial,1,images/Ex7.jpg,right,training,hard,3,,,,,
,,,,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,,,,,,,,,,,54.922,0.8,55.722,55.722,56.558,right,0,0.828,,56.558,57.559,0,5,5,0,1,partial,1,images/Ex1.jpg,left,training,hard,3,,,,,
,,,,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,,,,,,,,,,,57.561,1.4,58.967,58.967,59.482,right,1,0.512,,59.482,60.483,0,6,6,6,1,partial,1,images/Ex7.jpg,right,training,hard,3,,,,,
,,,,,5b98c8c1db823b0001ef5842,001,44,Male,British,Degree,2024-03-06_14h28.34.622,CRL1h,2023.2.3,MacIntel,118.4834123,65e67470ae2fbf2172c317b2,65e87d7097d094c63d95800e,,,,,,,,,,,60.484,1.2,61.68,61.68,62.246,left,0,0.565,,62.246,63.246,0,7,7,12,1,partial,1,images/Ex5.jpg,right,training,hard,3,,,,,
