infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,35.1147,space,35.0995,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,35.1152,81.6999,space,46.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,,,,,,81.7176,85.6156,space,3.881,,85.623,0.6,86.2156,86.2159,90.2632,left,1,4.0333,,90.2747,91.2656,0,0,0,3,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,,,,,,,,,,,91.2668,0.6,91.8648,91.8648,93.6985,right,1,1.8283,,93.6987,94.6967,0,1,1,7,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,,,,,,,,,,,94.6977,1,95.6992,95.6993,97.2313,right,0,1.529,,97.2314,98.2319,0,2,2,8,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,,,,,,,,,,,98.2415,0.5,98.7315,98.7315,101.3493,left,1,2.6038,,101.3494,102.3484,0,3,3,1,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,,,,,,,,,,,102.3586,1.1,103.4487,103.4487,104.9813,left,1,1.5213,,104.9813,105.9801,0,4,4,9,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,,,,,,,,,,,105.9894,0.7,106.6798,106.6798,107.8292,right,1,1.1363,,107.8293,108.8287,0,5,5,6,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,,,,,,,,,,,108.8293,1.1,109.9296,109.9297,111.3984,right,1,1.4559,,111.3984,112.3986,0,6,6,12,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,5cf8cc7e95c070001721db8d,001,36,Male,British,Undergrad,2024-03-05_22h20.25.060,CRL1h,2023.2.3,MacIntel,29.94011976,65e67470ae2fbf2172c317b2,65e79a8c0cd08177c670a565,,,,,,,,,,,112.3992,0.6,112.9982,112.9984,114.7633,right,1,1.7495,,114.7634,115.7628,0,7,7,15,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
