infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0001,2.5675,space,2.546,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,2.5679,126.9195,space,124.3334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,126.9271,130.8526,space,3.9046,,130.8595,1.1,131.9524,131.9526,134.1021,left,0,2.1332,,134.1024,135.1024,0,0,0,7,1,total,1,images/Ex16.jpg,right,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,135.1037,0.7,135.8018,135.8018,138.9184,left,1,3.1029,,138.9184,139.9187,0,1,1,0,1,total,1,images/Ex9.jpg,left,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,139.9198,1.1,141.0188,141.0188,142.2519,right,0,1.22,,142.252,143.252,0,2,2,1,1,total,1,images/Ex10.jpg,left,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,143.2527,0.6,143.852,143.8521,145.2022,right,0,1.3363,,145.2024,146.202,0,3,3,2,1,total,1,images/Ex11.jpg,left,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,146.2028,1.2,147.402,147.4021,149.2185,left,1,1.8036,,149.2185,150.2188,0,4,4,10,1,total,1,images/Ex11.jpg,left,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,150.2196,1,151.2183,151.2184,152.7024,left,1,1.47,,152.7025,153.7022,0,5,5,3,1,total,1,images/Ex12.jpg,left,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,153.7029,1.2,154.9021,154.9022,156.1523,right,0,1.2402,,156.1523,157.1522,0,6,6,8,1,total,1,images/Ex9.jpg,left,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,157.1627,1.2,158.3518,158.3519,159.5684,right,1,1.2058,,159.5686,160.5688,0,7,7,14,1,total,1,images/Ex15.jpg,right,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,160.5695,1.2,161.7688,161.769,163.769,left,1,1.9876,,163.7691,164.7688,0,8,8,9,1,total,1,images/Ex10.jpg,left,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,164.7696,1.1,165.8688,165.8689,166.8013,left,1,0.9185,,166.8013,167.8022,0,9,9,11,1,total,1,images/Ex12.jpg,left,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,167.803,1.1,168.9011,168.9011,169.9852,right,1,1.0765,,169.9853,170.9855,0,10,10,5,1,total,1,images/Ex14.jpg,right,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,170.9958,1.3,172.2857,172.2857,173.6181,left,0,1.3189,,173.6181,174.619,0,11,11,12,1,total,1,images/Ex13.jpg,right,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,174.6197,1.1,175.7182,175.7182,176.3191,right,1,0.5879,,176.3192,177.3189,0,12,12,4,1,total,1,images/Ex13.jpg,right,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,177.3196,1.1,178.4189,178.4189,179.4859,left,0,1.0582,,179.4859,180.4856,0,13,13,15,1,total,1,images/Ex16.jpg,right,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,180.4863,1.3,181.7856,181.7856,183.1527,left,0,1.353,,183.1528,184.1524,0,14,14,6,1,total,1,images/Ex15.jpg,right,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,184.1531,1.4,185.5515,185.5515,186.7691,left,0,1.2044,,186.7693,187.7691,0,15,15,13,1,total,1,images/Ex14.jpg,right,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,187.7698,1.4,189.169,189.169,190.4526,left,0,1.2702,,190.4527,191.4524,1,0,16,6,1,total,1,images/Ex15.jpg,right,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,191.4533,1.5,192.9524,192.9525,193.7359,left,1,0.7712,,193.7359,194.7358,1,1,17,8,1,total,1,images/Ex9.jpg,left,training,hard,4,,,,,
,,,,,5d696d1c55742f001af29220,001,22,Female,British,A-Levels,2024-03-06_15h50.43.658,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e890bdf98eca7a2d3ad4f9,,,,,,,,,,,194.7365,0.5,195.2357,195.2358,197.5692,right,0,2.3232,,197.5693,198.569,1,2,18,9,1,total,1,images/Ex10.jpg,left,training,hard,4,,,,,
