infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
1E-04,121.6381,space,121.6217,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,121.6382,206.5494,space,84.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,206.5577,210.991,space,4.4167,,210.9989,1.3,212.2974,212.2976,216.4058,left,1,4.0941,,216.4115,217.4058,0,0,0,2,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,217.4062,0.6,218.0058,218.0058,219.8203,right,0,1.8023,,219.8203,220.8204,0,1,1,3,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,220.8209,0.9,221.7138,221.7138,223.9418,left,0,2.217,,223.9419,224.9419,0,2,2,6,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,224.9483,0.7,225.6484,225.6485,227.743,right,0,2.0868,,227.743,228.7431,0,3,3,8,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,228.7496,0.7,229.4503,229.4504,232.2776,left,0,2.8257,,232.2776,233.2783,0,4,4,13,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,233.2842,1.5,234.7855,234.7855,236.0128,left,0,1.2156,,236.0129,237.0129,0,5,5,15,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,237.0133,0.5,237.5065,237.5065,240.3209,left,0,2.8089,,240.321,241.3213,0,6,6,14,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,241.3277,0.7,242.0279,242.0279,243.5889,right,0,1.5486,,243.5891,244.589,0,7,7,1,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,244.5959,0.6,245.1893,245.1893,246.4429,left,0,1.2481,,246.4429,247.4432,0,8,8,7,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,247.4438,1,248.4436,248.4436,251.1515,right,1,2.7016,,251.1516,252.1524,0,9,9,12,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,252.1593,1.1,253.2591,253.2591,254.059,right,1,0.7954,,254.059,255.0599,0,10,10,5,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,255.0605,0.5,255.553,255.5531,256.727,right,0,1.1666,,256.727,257.7269,0,11,11,0,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,257.7271,1.3,259.0213,259.0213,260.9819,right,1,1.9497,,260.982,261.9822,0,12,12,4,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,261.9828,1.1,263.0755,263.0755,265.0101,right,0,1.9285,,265.0101,266.01,0,13,13,9,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,266.0104,1.1,267.104,267.1041,269.1982,left,1,2.0876,,269.1982,270.1986,0,14,14,11,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,270.1991,1.3,271.4922,271.4923,272.7457,right,0,1.2472,,272.7458,273.7461,0,15,15,10,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,273.7465,1,274.7465,274.7466,276.0138,left,1,1.2644,,276.0138,277.0144,1,0,16,11,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,277.015,1.2,278.2174,278.2174,279.202,left,0,0.9784,,279.2021,280.2021,1,1,17,13,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,280.2026,1.4,281.6029,281.6029,283.6969,left,0,2.0889,,283.6969,284.6971,1,2,18,6,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,284.7031,0.7,285.404,285.4041,286.7646,right,1,1.3516,,286.7647,287.7649,1,3,19,15,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,287.7653,1.1,288.8586,288.8586,289.6193,right,0,0.753,,289.6193,290.6193,1,4,20,10,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,290.6197,0.5,291.1129,291.1129,292.0997,right,0,0.9846,,292.0997,293.1003,1,5,21,8,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,293.1007,0.8,293.9005,293.9005,295.3012,right,1,1.3911,,295.3012,296.3015,1,6,22,4,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,296.3019,1.2,297.5019,297.5019,299.4758,left,0,1.9644,,299.4758,300.476,1,7,23,14,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,300.4763,1.4,301.8766,301.8766,303.6108,right,0,1.7247,,303.6109,304.611,1,8,24,1,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,304.6115,0.7,305.3047,305.3047,306.372,left,1,1.0592,,306.3721,307.3721,1,9,25,9,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,307.3725,1.4,308.7724,308.7724,310.7336,left,1,1.9519,,310.7336,311.7336,1,10,26,3,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,311.7341,0.8,312.534,312.534,314.7083,left,1,2.1625,,314.7083,315.7085,1,11,27,0,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,315.7146,1.4,317.1089,317.1089,318.1095,left,0,0.9882,,318.1096,319.1095,1,12,28,7,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,319.1098,1.4,320.5103,320.5103,322.0043,left,0,1.4825,,322.0045,323.0044,1,13,29,5,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,323.0106,0.8,323.8046,323.8046,325.0183,left,0,1.2071,,325.0184,326.019,1,14,30,12,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,326.0193,1.3,327.3129,327.313,328.66,left,1,1.3406,,328.6601,329.6606,1,15,31,2,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,329.661,1.2,330.8612,330.8612,332.2877,right,1,1.4172,,332.2878,333.2884,2,0,32,5,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,333.2888,1.4,334.6884,334.6885,335.8094,right,1,1.1169,,335.8095,336.8094,2,1,33,7,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,336.8164,1.4,338.2107,338.2107,339.1172,right,0,0.901,,339.1173,340.1175,2,2,34,9,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,340.1178,0.9,341.0112,341.0112,341.531,left,1,0.5188,,341.531,342.5317,2,3,35,1,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,342.532,0.6,343.1317,343.1317,345.1724,left,0,2.0393,,345.1724,346.1732,2,4,36,4,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,346.1735,0.9,347.0663,347.0663,348.467,right,1,1.3992,,348.467,349.4676,2,5,37,6,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,349.4681,1,350.4679,350.4679,351.242,right,0,0.7692,,351.242,352.242,2,6,38,2,1,partial,1,images/Ex3.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,352.2425,1.1,353.3355,353.3356,354.5898,right,0,1.2483,,354.5899,355.5899,2,7,39,3,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,355.5904,1.3,356.8838,356.8839,359.2044,left,1,2.3102,,359.2045,360.2045,2,8,40,0,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,360.2048,1.3,361.4988,361.499,362.9393,left,1,1.4305,,362.9393,363.9397,2,9,41,11,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,363.9403,1.2,365.1434,365.1434,366.2739,left,1,1.1222,,366.274,367.2738,2,10,42,8,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,5f75d01a857e4e27a575f7ca,001,42,female,British,Bachelors Degree,2024-03-06_15h05.05.880,CRL1h,2023.2.3,Win32,74.07407407,65e67470ae2fbf2172c317b2,65e885b59df01e3e2177f9af,,,,,,,,,,,367.2745,0.6,367.8741,367.8741,368.8879,left,0,1.0023,,368.8879,369.8884,2,11,43,12,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
