infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
1E-04,38.691,space,38.6669,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,38.6913,61.4423,space,22.7224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,61.4581,64.0245,space,2.548,,64.0319,1.3,65.3255,65.3256,68.2595,left,0,2.9184,,68.2722,69.2586,0,0,0,15,1,partial,1,images/Ex16.jpg,right,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,69.2597,1.4,70.6581,70.6582,71.6085,left,0,0.9461,,71.6086,72.6089,0,1,1,14,1,partial,1,images/Ex15.jpg,right,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,72.6096,1,73.6088,73.6089,74.6589,right,1,1.0418,,74.659,75.6589,0,2,2,4,1,partial,1,images/Ex13.jpg,right,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,75.6595,1,76.6581,76.6581,77.8258,right,0,1.1547,,77.8259,78.8255,0,3,3,0,1,partial,1,images/Ex9.jpg,left,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,78.826,0.6,79.4257,79.4257,80.2762,right,1,0.8367,,80.2763,81.2758,0,4,4,7,1,partial,1,images/Ex16.jpg,right,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,81.2765,0.8,82.0759,82.0759,82.5596,left,1,0.4819,,82.5597,83.5592,0,5,5,1,1,partial,1,images/Ex10.jpg,left,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,83.5597,0.7,84.2593,84.2594,84.7919,right,1,0.5199,,84.792,85.7921,0,6,6,5,1,partial,1,images/Ex14.jpg,right,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,85.7926,0.7,86.4928,86.4928,86.9593,right,0,0.4537,,86.9593,87.9593,0,7,7,3,1,partial,1,images/Ex12.jpg,left,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,87.9599,1.4,89.3595,89.3596,90.1253,left,1,0.7539,,90.1254,91.1256,0,8,8,8,1,partial,1,images/Ex9.jpg,left,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,91.1264,0.8,91.9261,91.9261,92.5597,right,1,0.6209,,92.5598,93.5596,0,9,9,13,1,partial,1,images/Ex14.jpg,right,training,hard,1,,,,,
,,,,,5fa0803077c8550dcb24237d,001,22,non-binary,British,Masters,2024-03-05_22h20.37.211,CRL1h,2023.2.3,MacIntel,60.24096386,65e67470ae2fbf2172c317b2,65e79a91ddf0c6086907b516,,,,,,,,,,,93.5602,0.6,94.1595,94.1596,95.1419,left,1,0.9704,,95.1419,96.143,0,10,10,10,1,partial,1,images/Ex11.jpg,left,training,hard,1,,,,,
