infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,4.6092,space,4.5949,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,4.6094,51.013,space,46.3934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,,,,,,51.0225,55.6178,space,4.5886,,55.6287,1.2,56.8265,56.8267,57.8886,left,0,1.0561,,57.8887,58.889,0,0,0,14,1,partial,1,images/Ex15.jpg,right,training,hard,2,,,,,
,,,,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,,,,,,,,,,,58.8897,0.6,59.4875,59.4875,60.706,left,0,1.2173,,60.7061,61.703,0,1,1,7,1,partial,1,images/Ex16.jpg,right,training,hard,2,,,,,
,,,,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,,,,,,,,,,,61.7034,0.7,62.402,62.402,63.0635,right,1,0.6575,,63.0635,64.06,0,2,2,13,1,partial,1,images/Ex14.jpg,right,training,hard,2,,,,,
,,,,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,,,,,,,,,,,64.0604,1,65.057,65.057,65.8743,right,0,0.8146,,65.8744,66.8714,0,3,3,11,1,partial,1,images/Ex12.jpg,left,training,hard,2,,,,,
,,,,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,,,,,,,,,,,66.872,0.9,67.7713,67.7713,68.5607,left,0,0.7872,,68.5607,69.5616,0,4,4,5,1,partial,1,images/Ex14.jpg,right,training,hard,2,,,,,
,,,,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,,,,,,,,,,,69.5621,1.4,70.959,70.9591,71.9674,left,1,1.0047,,71.9674,72.9648,0,5,5,1,1,partial,1,images/Ex10.jpg,left,training,hard,2,,,,,
,,,,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,,,,,,,,,,,72.9652,0.8,73.7608,73.7608,74.6753,left,1,0.9136,,74.6754,75.6722,0,6,6,9,1,partial,1,images/Ex10.jpg,left,training,hard,2,,,,,
,,,,,604d5e61486bd0622d2102c0,001,24,Female,British,College,2024-03-06_13h27.07.418,CRL1h,2023.2.3,Win32,144.9275362,65e67470ae2fbf2172c317b2,65e86f082f08b3751d9548e4,,,,,,,,,,,75.6726,1,76.669,76.6691,77.687,right,0,1.0158,,77.6871,78.6879,0,7,7,0,1,partial,1,images/Ex9.jpg,left,training,hard,2,,,,,
