infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0006,18.9452,space,18.8703,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,18.9454,47.8379,space,28.8635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,47.8574,52.3579,space,4.4911,,52.3784,1,53.3732,53.3734,55.2171,left,0,1.8263,,55.2175,56.2164,0,0,0,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,56.2186,0.8,57.0161,57.0162,58.1163,right,1,1.0887,,58.1164,59.1154,0,1,1,15,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,59.1163,1,60.1153,60.1153,61.0823,left,0,0.9574,,61.0824,62.0816,0,2,2,12,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,62.0824,1.1,63.1812,63.1813,63.7981,left,0,0.6152,,63.7982,64.7974,0,3,3,4,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,64.798,1.1,65.8973,65.8973,66.5496,right,1,0.6432,,66.5498,67.5486,0,4,4,14,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,67.5499,1.5,69.0484,69.0486,69.5035,right,1,0.4531,,69.5036,70.4974,0,5,5,6,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,70.4992,1.5,71.9976,71.9979,72.5796,left,1,0.5691,,72.5797,73.5789,0,6,6,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,73.5794,1.1,74.6786,74.6786,75.162,left,1,0.472,,75.1621,76.1615,0,7,7,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,76.1621,1,77.1613,77.1614,77.9471,left,1,0.7729,,77.9472,78.945,0,8,8,0,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,78.9471,1.4,80.35,80.35,81.0781,left,1,0.7199,,81.0781,82.0771,0,9,9,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,82.0784,0.7,82.7769,82.777,83.7775,left,1,0.9889,,83.7776,84.7776,0,10,10,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,84.7796,1.5,86.276,86.2761,86.96,right,0,0.6716,,86.9601,87.9591,0,11,11,2,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,87.9603,1.2,89.1587,89.1588,89.8427,left,0,0.6732,,89.8427,90.8417,0,12,12,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,90.8425,0.9,91.7415,91.7416,92.2083,right,0,0.4557,,92.2084,93.2077,0,13,13,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,93.2088,1,94.2076,94.2077,94.5911,right,0,0.3721,,94.5912,95.5907,0,14,14,10,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,95.5917,0.9,96.4904,96.4905,97.2577,right,1,0.7581,,97.2578,98.2567,0,15,15,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,98.2584,0.5,98.7567,98.7567,99.4081,right,0,0.6381,,99.4082,100.4061,1,0,16,10,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,100.4076,0.6,101.0061,101.0062,101.6896,left,1,0.6725,,101.6897,102.689,1,1,17,2,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,102.6898,0.7,103.3888,103.3889,104.0223,left,1,0.6222,,104.0223,105.0219,1,2,18,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,105.0228,1,106.0215,106.0216,106.7223,left,0,0.6945,,106.7223,107.7108,1,3,19,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,107.7113,1.3,109.0111,109.0111,109.8563,left,0,0.8363,,109.8564,110.8547,1,4,20,14,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,110.8562,1.4,112.2597,112.2597,112.9224,right,0,0.6526,,112.9224,113.9205,1,5,21,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,113.9222,0.9,114.8202,114.8204,115.66,right,1,0.8369,,115.6601,116.6532,1,6,22,12,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,116.655,1.3,117.9529,117.953,118.5542,left,1,0.5926,,118.5543,119.5524,1,7,23,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,119.5541,1.4,120.955,120.955,121.687,left,1,0.7237,,121.6871,122.6903,1,8,24,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,122.6907,0.7,123.3853,123.3854,124.4575,left,0,1.0694,,124.4575,125.4513,1,9,25,4,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,125.4529,1.2,126.6509,126.651,127.2194,left,1,0.5549,,127.2194,128.2175,1,10,26,0,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,128.2192,1.2,129.4179,129.4181,129.9516,right,1,0.5258,,129.9517,130.9499,1,11,27,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,130.9517,1.1,132.0498,132.05,132.6181,right,0,0.5589,,132.6182,133.616,1,12,28,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,133.6181,1.1,134.7158,134.716,135.3056,left,0,0.5867,,135.3056,136.2987,1,13,29,6,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,136.3005,0.8,137.0986,137.0988,137.5828,right,1,0.4715,,137.583,138.5817,1,14,30,15,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,138.5835,0.6,139.1815,139.1817,139.6993,right,1,0.508,,139.6995,140.6983,1,15,31,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,140.6998,1.3,141.9985,141.9988,142.6372,left,1,0.6367,,142.6372,143.6306,2,0,32,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,143.6322,0.7,144.3303,144.3304,144.9662,left,0,0.6332,,144.9662,145.9632,2,1,33,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,614618f3146cc85f803c4e69,001,36,Female,English,BA Degree,2024-03-06_14h28.35.176,CRL1h,2023.2.3,Win32,59.88023952,65e67470ae2fbf2172c317b2,65e87d72e5d71ae9900ad0f5,,,,,,,,,,,145.9649,1.4,147.3628,147.3629,147.7692,right,1,0.4034,,147.7692,148.7628,2,2,34,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
