infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0005,8.4317,space,8.4127,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,8.4321,72.395,space,63.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,,,,,,72.4185,78.6367,space,6.1998,,78.6976,0.7,79.4016,79.4021,95.5596,right,0,16.1168,,95.5778,96.5579,0,0,0,10,1,total,1,images/Ex11.jpg,left,training,hard,4,,,,,
,,,,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,,,,,,,,,,,96.5612,1.1,97.6549,97.655,100.3345,left,0,2.676,,100.3348,101.3329,0,1,1,7,1,total,1,images/Ex16.jpg,right,training,hard,4,,,,,
,,,,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,,,,,,,,,,,101.3344,0.7,102.0353,102.0353,102.9811,left,1,0.9438,,102.9812,103.9786,0,2,2,9,1,total,1,images/Ex10.jpg,left,training,hard,4,,,,,
,,,,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,,,,,,,,,,,103.9798,1.5,105.4765,105.4766,108.0722,left,1,2.5836,,108.0723,109.0705,0,3,3,8,1,total,1,images/Ex9.jpg,left,training,hard,4,,,,,
,,,,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,,,,,,,,,,,109.0849,1.3,110.3852,110.3852,112.7815,right,1,2.3836,,112.7816,113.7799,0,4,4,13,1,total,1,images/Ex14.jpg,right,training,hard,4,,,,,
,,,,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,,,,,,,,,,,113.7924,1.3,115.098,115.098,116.4645,right,1,1.3646,,116.4646,117.4575,0,5,5,4,1,total,1,images/Ex13.jpg,right,training,hard,4,,,,,
,,,,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,,,,,,,,,,,117.4586,1.2,118.6598,118.6599,119.6211,left,1,0.9584,,119.6212,120.6199,0,6,6,0,1,total,1,images/Ex9.jpg,left,training,hard,4,,,,,
,,,,,632c78dac01ee4ebd60f742c,001,23,Male,Nigeria,Bachelor,2024-03-06_16h06.00.264,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b3f0a2707eef3dc1a2,,,,,,,,,,,120.6211,1.5,122.1169,122.1169,123.3153,right,1,1.1943,,123.3154,124.3141,0,7,7,6,1,total,1,images/Ex15.jpg,right,training,hard,4,,,,,
