infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0007,34.344,space,34.3033,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,34.345,80.5623,space,46.1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,80.5969,83.9042,space,3.2898,,83.9289,1,84.9206,84.9208,89.3181,left,1,4.3885,,89.3311,90.3132,0,0,0,3,1,partial,1,images/Ex12.jpg,left,training,hard,2,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,,,,,,90.3154,0.9,91.2146,91.2153,93.2321,right,1,2.0107,,93.2323,94.2329,0,1,1,6,1,partial,1,images/Ex15.jpg,right,training,hard,2,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,,,,,,94.2343,1.4,95.6346,95.6346,97.7045,right,1,2.0673,,97.7047,98.7008,0,2,2,4,1,partial,1,images/Ex13.jpg,right,training,hard,2,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,,,,,,98.7156,1.4,100.1185,100.1186,101.0393,left,0,0.9168,,101.0393,102.0367,0,3,3,13,1,partial,1,images/Ex14.jpg,right,training,hard,2,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,,,,,,102.0375,0.9,102.9362,102.9363,103.3876,right,0,0.4488,,103.3876,104.3863,0,4,4,10,1,partial,1,images/Ex11.jpg,left,training,hard,2,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,,,,,,104.3873,0.7,105.0871,105.0871,106.0211,left,1,0.9311,,106.0213,107.0211,0,5,5,0,1,partial,1,images/Ex9.jpg,left,training,hard,2,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,,,,,,107.0226,0.8,107.8221,107.8222,108.5548,left,0,0.7276,,108.555,109.5552,0,6,6,5,1,partial,1,images/Ex14.jpg,right,training,hard,2,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,,,,,,109.5559,1.2,110.7557,110.7559,111.6899,right,0,0.9313,,111.6901,112.6909,0,7,7,9,1,partial,1,images/Ex10.jpg,left,training,hard,2,,,,,
,,,,,637fcee60a8378c1c3a65898,001,,,,,2024-03-06_12h16.14.481,CRL1h,2023.2.3,Linux x86_64,59.88023952,65e67470ae2fbf2172c317b2,65e85e752eabfe91b174cc95,,,,,,,,,,,112.6916,0.8,113.4915,113.4915,114.5942,left,0,1.0997,,114.5942,115.5905,0,8,8,14,1,partial,1,images/Ex15.jpg,right,training,hard,2,,,,,
