infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,77.9151,space,77.8441,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,77.9153,137.3093,space,59.3658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,137.3165,144.4985,space,7.158,,144.5059,1.4,145.8994,145.8995,148.2348,left,0,2.32,,148.2349,149.2355,0,0,0,14,1,partial,1,images/Ex7.jpg,right,training,hard,4,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,,,,,,149.2359,0.9,150.1361,150.1361,152.3398,left,0,2.2028,,152.3399,153.3389,0,1,1,7,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,,,,,,153.3393,0.9,154.2395,154.2396,156.2079,left,1,1.9602,,156.2079,157.1955,0,2,2,9,1,partial,1,images/Ex2.jpg,left,training,hard,4,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,,,,,,157.1957,1.2,158.3929,158.3929,159.6775,left,1,1.2746,,159.6775,160.6781,0,3,3,3,1,partial,1,images/Ex4.jpg,left,training,hard,4,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,,,,,,160.6784,0.8,161.4788,161.4788,162.9802,left,0,1.4877,,162.9803,163.9692,0,4,4,13,1,partial,1,images/Ex6.jpg,right,training,hard,4,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,,,,,,163.9696,0.9,164.8649,164.8649,166.2661,left,1,1.3945,,166.2662,167.2669,0,5,5,8,1,partial,1,images/Ex1.jpg,left,training,hard,4,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,,,,,,167.2672,0.9,168.1676,168.1676,169.5856,right,1,1.4029,,169.5856,170.5864,0,6,6,15,1,partial,1,images/Ex8.jpg,right,training,hard,4,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,,,,,,170.5866,1.3,171.8873,171.8873,173.4221,right,1,1.5225,,173.4221,174.4227,0,7,7,12,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
,,,,,64217d8202361ad4dbed3596,001,59,Male,UK (Scotland),BSc (Hons),2024-03-06_15h04.29.507,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e885b1163b66c815b71f11,,,,,,,,,,,174.423,1.3,175.7238,175.7239,176.558,right,1,0.8232,,176.558,177.5587,0,8,8,4,1,partial,1,images/Ex5.jpg,right,training,hard,4,,,,,
