infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0149,45.7462,space,45.5088,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,45.7466,75.4238,space,29.6485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,,,,,,75.4467,101.5674,space,26.1009,,101.5917,0.6,102.1828,102.1831,113.9503,left,1,11.7558,,113.9506,114.9473,0,0,0,0,1,total,1,images/Ex1.jpg,left,training,hard,2,,,,,
,,,,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,,,,,,,,,,,114.9488,0.6,115.5462,115.5462,116.8311,right,0,1.2824,,116.8313,117.8291,0,1,1,1,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
,,,,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,,,,,,,,,,,117.8306,1.1,118.9291,118.9292,127.3134,left,0,8.3825,,127.3135,128.3108,0,2,2,4,1,total,1,images/Ex5.jpg,right,training,hard,2,,,,,
,,,,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,,,,,,,,,,,128.3249,0.6,128.9267,128.9267,133.7424,right,1,4.8122,,133.7425,134.7422,0,3,3,15,1,total,1,images/Ex8.jpg,right,training,hard,2,,,,,
,,,,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,,,,,,,,,,,134.755,1.1,135.8584,135.8584,137.2427,right,0,1.3778,,137.2427,138.2379,0,4,4,3,1,total,1,images/Ex4.jpg,left,training,hard,2,,,,,
,,,,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,,,,,,,,,,,138.2386,0.8,139.0417,139.0418,140.4425,right,1,1.3993,,140.4426,141.4492,0,5,5,13,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,,,,,,,,,,,141.4501,1.1,142.5408,142.5408,143.425,right,1,0.8829,,143.425,144.423,0,6,6,5,1,total,1,images/Ex6.jpg,right,training,hard,2,,,,,
,,,,,644940c6c6b71b43c2f0d552,001,56,Female,British,Vocational,2024-03-06_12h18.45.243,CRL1h,2023.2.3,Win32,60.60606061,65e67470ae2fbf2172c317b2,65e85ea8575cfed617fa39f4,,,,,,,,,,,144.4234,1.1,145.5232,145.5233,146.4736,right,0,0.9489,,146.4738,147.4714,0,7,7,9,1,total,1,images/Ex2.jpg,left,training,hard,2,,,,,
