infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0005,71.2065,space,71.1543,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,71.2066,128.5467,space,57.3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,,,,,,128.5768,134.3899,space,5.8006,,134.4237,1,135.4202,135.4209,141.1644,left,1,5.7245,,141.1741,142.1629,0,0,0,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,,,,,,,,,,,142.1638,1.3,143.462,143.4622,146.5926,left,1,3.123,,146.593,147.5907,0,1,1,0,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,,,,,,,,,,,147.5917,1.3,148.8892,148.8892,151.1206,left,0,2.223,,151.1208,152.1191,0,2,2,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,,,,,,,,,,,152.1201,0.9,153.0185,153.0187,154.5009,right,1,1.4781,,154.501,155.4995,0,3,3,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,,,,,,,,,,,155.501,0.7,156.1991,156.1993,157.9657,left,0,1.7541,,157.9658,158.9631,0,4,4,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,,,,,,,,,,,158.9862,0.7,159.6786,159.6787,161.2951,right,0,1.6058,,161.2953,162.292,0,5,5,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,,,,,,,,,,,162.2929,1.1,163.3915,163.3917,164.3075,left,1,0.9026,,164.3077,165.3059,0,6,6,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,652be58c7d5885fc2d4abe9e,001,64,female,British,Bachelor Degree,2024-03-06_16h32.11.137,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87da09988e2eb938ce968,,,,,,,,,,,165.3069,0.7,166.0054,166.0055,167.072,left,1,1.0614,,167.0728,168.0703,0,7,7,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
