infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,3.4058,space,3.3857,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,3.4061,31.4966,space,28.0645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,31.5074,33.1554,space,1.6238,,33.1626,1,34.1551,34.1553,37.9553,left,1,3.79,,37.9657,38.955,0,0,0,9,1,total,1,images/Ex2.jpg,left,training,hard,1,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,38.9559,1.3,40.2459,40.2459,41.2543,right,0,0.998,,41.2543,42.2548,0,1,1,10,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,42.2555,0.7,42.9548,42.9549,44.0119,right,0,1.0556,,44.0119,45.0049,0,2,2,3,1,total,1,images/Ex4.jpg,left,training,hard,1,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,45.0056,1.4,46.4049,46.4049,47.3039,left,0,0.8961,,47.3039,48.3039,0,3,3,4,1,total,1,images/Ex5.jpg,right,training,hard,1,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,48.3045,0.8,49.1043,49.1044,50.0546,right,1,0.9488,,50.0546,51.0601,0,4,4,6,1,total,1,images/Ex7.jpg,right,training,hard,1,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,51.0606,0.8,51.8547,51.8548,53.855,right,0,1.9898,,53.8551,54.8546,0,5,5,2,1,total,1,images/Ex3.jpg,left,training,hard,1,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,54.855,0.6,55.4539,55.454,57.3043,right,1,1.8478,,57.3044,58.2926,0,6,6,15,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,58.293,0.8,59.0873,59.0874,60.5046,right,0,1.4058,,60.5047,61.5047,0,7,7,8,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,61.5187,1.5,63.0212,63.0213,64.1872,left,0,1.1634,,64.1872,65.1939,0,8,8,7,1,total,1,images/Ex8.jpg,right,training,hard,1,,,,,
,,,,,6570824312e21ad0a49858f4,001,30,Male,Malaysia,Master,2024-03-05_22h20.49.494,CRL1h,2023.2.3,MacIntel,64.1025641,65e67470ae2fbf2172c317b2,65e79a8f010247fd67c1a9e4,,,,,,,,,,,65.1944,0.8,65.9879,65.988,67.1215,right,0,1.1256,,67.1216,68.1277,0,9,9,0,1,total,1,images/Ex1.jpg,left,training,hard,1,,,,,
