infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,31.1026,space,31.0634,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,31.1032,255.8165,space,224.6932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,255.8225,259.4085,space,3.5726,,259.4176,1.3,260.7104,260.7105,269.3359,right,0,8.6066,,269.3366,270.3365,0,0,0,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,270.3372,1.2,271.5402,271.5402,272.9972,left,0,1.4476,,272.9974,273.9962,0,1,1,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,273.9968,1.5,275.5023,275.5024,276.7037,left,1,1.1977,,276.7037,277.6915,0,2,2,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,277.692,0.8,278.4925,278.4926,279.5151,left,0,1.0202,,279.5153,280.5159,0,3,3,4,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,280.5163,1.2,281.7188,281.7188,282.5063,left,0,0.7858,,282.5063,283.5085,0,4,4,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,283.5091,0.8,284.3076,284.3076,285.5945,right,1,1.2793,,285.5946,286.5983,0,5,5,14,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,286.599,1.3,287.8996,287.8997,288.7715,right,0,0.8622,,288.7716,289.7736,0,6,6,0,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,289.7742,1.3,291.0761,291.0761,291.71,left,1,0.6255,,291.71,292.7155,0,7,7,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,292.7159,1.2,293.9175,293.9175,294.9383,right,0,1.0138,,294.9383,295.9395,0,8,8,10,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,295.9399,0.6,296.5428,296.5429,297.4282,right,1,0.8745,,297.4282,298.4292,0,9,9,15,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,298.4295,1,299.4307,299.4308,300.3693,right,0,0.927,,300.3693,301.3728,0,10,10,2,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,301.3735,1.1,302.4753,302.4754,303.045,right,1,0.5582,,303.0451,304.0449,0,11,11,12,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,304.0457,1,305.0473,305.0473,306.4363,left,1,1.3783,,306.4363,307.436,0,12,12,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,307.4364,1.5,308.9426,308.9426,310.3433,left,0,1.3954,,310.3433,311.3482,0,13,13,6,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,311.3486,1.2,312.5502,312.5503,314.1036,right,0,1.5474,,314.1036,315.1066,0,14,14,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,315.1069,0.9,316.0084,316.0084,317.0817,right,1,1.0629,,317.0817,318.0808,0,15,15,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,318.0811,1.2,319.2692,319.2692,320.4537,left,1,1.179,,320.4538,321.4559,1,0,16,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,321.4568,1.2,322.6697,322.6697,323.3114,left,1,0.6392,,323.3114,324.3004,1,1,17,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,65cb76b8dd56502a5687bfbd,001,33,Female,British,Bachelors Degree,2024-03-06_14h37.00.863,CRL1h,2023.2.3,MacIntel,59.84082341,65e67470ae2fbf2172c317b2,65e87d7142c856deba19f145,,,,,,,,,,,324.3009,1.4,325.6912,325.6913,327.5086,left,1,1.8127,,327.5086,328.5082,1,2,18,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
