"participant","task","phase","Exemplars","r_correct","response.keys","response.corr","response.rt","condition","difficulty","set","first","nBlocks","trials","condition2"
"56b8de29e1d0a200051517f8","partial",1,4,"right","left",0,1.047,"nonreversed","easy",4,"first-partial",1,1,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","left",0,0.923,"reversed","easy",4,"first-partial",1,1,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","left",1,0.763,"nonreversed","easy",4,"first-partial",1,1,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","right",0,0.941,"reversed","easy",4,"first-partial",1,1,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","left",1,0.869,"reversed","easy",4,"first-partial",1,1,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.704,"nonreversed","easy",4,"first-partial",1,1,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","right",0,0.774,"nonreversed","easy",4,"first-partial",1,1,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,0.809,"reversed","easy",4,"first-partial",1,1,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","right",0,0.794,"nonreversed","easy",4,"first-partial",2,2,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.747,"nonreversed","easy",4,"first-partial",2,2,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","left",0,0.875,"reversed","easy",4,"first-partial",2,2,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","right",0,1.044,"reversed","easy",4,"first-partial",2,2,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,1.006,"reversed","easy",4,"first-partial",2,2,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","right",0,0.936,"reversed","easy",4,"first-partial",2,2,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","left",1,0.817,"nonreversed","easy",4,"first-partial",2,2,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.565,"nonreversed","easy",4,"first-partial",2,2,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,0.897,"reversed","easy",4,"first-partial",3,3,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.582,"nonreversed","easy",4,"first-partial",3,3,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","right",0,0.748,"nonreversed","easy",4,"first-partial",3,3,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","left",1,0.393,"reversed","easy",4,"first-partial",3,3,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","left",1,0.59,"reversed","easy",4,"first-partial",3,3,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.576,"nonreversed","easy",4,"first-partial",3,3,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,0.643,"reversed","easy",4,"first-partial",3,3,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","right",0,0.563,"nonreversed","easy",4,"first-partial",3,3,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","left",1,0.69,"nonreversed","easy",4,"first-partial",4,4,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.508,"nonreversed","easy",4,"first-partial",4,4,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","left",1,0.545,"reversed","easy",4,"first-partial",4,4,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,0.792,"reversed","easy",4,"first-partial",4,4,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.547,"nonreversed","easy",4,"first-partial",4,4,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","left",1,0.455,"nonreversed","easy",4,"first-partial",4,4,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","left",1,0.579,"reversed","easy",4,"first-partial",4,4,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,0.668,"reversed","easy",4,"first-partial",4,4,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.577,"nonreversed","easy",4,"first-partial",5,5,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","left",1,0.537,"nonreversed","easy",4,"first-partial",5,5,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","left",1,0.51,"reversed","easy",4,"first-partial",5,5,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,0.43,"reversed","easy",4,"first-partial",5,5,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,0.617,"reversed","easy",4,"first-partial",5,5,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","left",1,0.481,"nonreversed","easy",4,"first-partial",5,5,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","left",1,0.336,"reversed","easy",4,"first-partial",5,5,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.489,"nonreversed","easy",4,"first-partial",5,5,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","left",1,0.548,"nonreversed","easy",4,"first-partial",6,6,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.482,"nonreversed","easy",4,"first-partial",6,6,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","left",1,0.508,"reversed","easy",4,"first-partial",6,6,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,0.47,"reversed","easy",4,"first-partial",6,6,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,3,"right","right",1,0.456,"reversed","easy",4,"first-partial",6,6,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",1,2,"left","left",1,0.594,"nonreversed","easy",4,"first-partial",6,6,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,4,"right","right",1,0.48,"nonreversed","easy",4,"first-partial",6,6,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",1,1,"left","left",1,0.524,"reversed","easy",4,"first-partial",6,6,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",2,4,"right","right",1,0.521,"nonreversed","easy",4,"first-partial",1,7,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",2,4,"right","right",1,0.47,"nonreversed","easy",4,"first-partial",1,7,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",2,2,"left","left",1,0.508,"nonreversed","easy",4,"first-partial",1,7,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",2,1,"right","left",0,0.509,"reversed","easy",4,"first-partial",1,7,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",2,3,"left","right",0,0.894,"reversed","easy",4,"first-partial",1,7,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",2,1,"right","left",0,1.283,"reversed","easy",4,"first-partial",1,7,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",2,2,"left","right",0,0.91,"nonreversed","easy",4,"first-partial",1,7,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",2,3,"left","right",0,1.177,"reversed","easy",4,"first-partial",1,7,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",2,3,"left","right",0,1.85,"reversed","easy",4,"first-partial",2,8,"partial-reversed"
"56b8de29e1d0a200051517f8","partial",2,2,"left","left",1,0.829,"nonreversed","easy",4,"first-partial",2,8,"partial-nonreversed"
"56b8de29e1d0a200051517f8","partial",2,1,"right","left",0,0.601,"reversed","easy",4,"first-partial",2,8,"partial-reversed"
