"participant","first","difficulty","set","1-total-reversed","2-total-reversed","3-total-reversed","4-total-reversed","5-total-reversed","6-total-reversed","7-total-reversed","8-total-reversed","9-total-reversed","10-total-reversed","11-total-reversed","12-total-reversed","1-partial-reversed","2-partial-reversed","3-partial-reversed","4-partial-reversed","5-partial-reversed","6-partial-reversed","7-partial-reversed","8-partial-reversed","9-partial-reversed","10-partial-reversed","11-partial-reversed","12-partial-reversed","1-partial-nonreversed","2-partial-nonreversed","3-partial-nonreversed","4-partial-nonreversed","5-partial-nonreversed","6-partial-nonreversed","7-partial-nonreversed","8-partial-nonreversed","9-partial-nonreversed","10-partial-nonreversed","11-partial-nonreversed","12-partial-nonreversed"
"56b8de29e1d0a200051517f8","first-partial","easy",4,0.700125,0.525625,0.491625,0.59825,0.543,0.549375,0.652625,0.637875,0.617875,0.5575,0.47575,0.453625,0.8855,0.96525,0.63075,0.646,0.47325,0.4895,0.96575,0.94975,0.63725,0.5555,0.548,0.527,0.822,0.73075,0.61725,0.55,0.521,0.526,0.60225,0.7375,0.624,0.6915,0.51625,0.52
"57a78015454e5400015f57ec","first-partial","easy",2,1.32295,1.1713375,1.179125,1.12955,1.2086375,1.40165,1.245575,1.51955,1.38845,1.305775,1.2295875,1.342,1.8287,1.3853,1.300375,1.337475,1.2914,1.128225,1.1734,1.4752,1.080375,1.397825,1.163925,1.35045,2.286175,1.42735,1.25405,0.998975,1.29845,1.394575,3.5262,0.9659,1.549925,1.356475,1.21505,1.347525
"59ae8d282a78fd00010b80e7","first-total","easy",7,0.77225,0.495625,0.523625,0.446875,0.49025,0.40975,0.46625,0.43825,0.473625,0.58875,0.49075,0.455625,0.5815,0.51,0.45925,0.4745,0.4205,0.4395,0.5125,0.46225,0.5685,0.48175,0.5625,0.47,0.59925,0.531,0.4495,0.48225,0.4985,0.47125,0.48225,0.46275,0.4335,0.49,0.549,0.49025
"59ccd702faf42e00012b68f5","first-partial","easy",3,1.174625,0.592125,0.518,0.425625,0.464375,0.445625,0.668625,0.57475,0.537,0.5485,0.54575,0.666375,1.67525,1.11,0.67,0.49725,0.5585,0.51,0.5335,0.67925,0.563,0.597,0.55875,0.48925,1.198,0.69525,0.5935,0.5005,0.6105,0.73375,0.65375,0.551,0.49025,0.498,0.52325,0.515
"5c3d5129a9bfb4000168e299","first-total","easy",1,1.8931875,0.5109625,0.60145,0.5868125,1.5809125,0.6508875,0.8900375,0.49065,0.5384125,0.5915125,0.9165,0.83505,1.59045,0.62605,0.69845,0.594825,0.547125,0.5128,0.82965,0.721925,0.566275,0.6321,0.6291,0.549575,1.6504,0.6932,0.945175,0.610725,0.56115,0.62745,0.815125,0.6404,0.424925,0.589275,0.73945,0.709125
"5c4d8d706b23ab0001a34af2","first-total","easy",8,1.0076125,0.8929375,0.7397125,0.6423625,0.70025,0.7044375,0.802025,0.6835125,0.6983875,0.6217,0.595275,0.61745,0.780525,0.6832,0.621025,0.57655,0.789975,0.659675,0.605575,0.6755,0.772475,0.657575,0.674525,0.568325,0.782275,0.70885,0.639225,0.564125,0.65985,0.516,0.576625,0.6449,0.61765,0.656175,0.6276,0.590625
"5c4f5967aac8be0001716a65","first-partial","easy",4,0.9820125,0.777275,0.6864,0.651125,0.7700125,1.1540875,1.13595,0.80725,0.9093875,1.0798,0.823925,0.7409,1.3397,0.7791,0.653375,0.957975,1.0253,1.074575,1.035625,1.170525,0.927425,0.978375,1.403775,1.21125,1.070225,0.838575,0.669075,0.77875,0.67255,0.9947,0.826825,0.801725,0.7032,0.950175,1.71645,0.8882
"5ce9b0e4be5a6b00163f6870","first-partial","easy",3,1.0849,0.9703,0.9436625,0.8529125,0.884725,0.8639125,0.861225,0.886475,0.849125,0.8451625,0.87625,0.792975,1.7804,0.9845,0.90145,1.15995,1.093225,0.83005,1.059725,0.875975,1.04345,0.960175,0.90645,0.9767,1.1683,1.0986,0.872825,1.201725,1.051525,1.211,1.097525,1.38895,1.222125,1.06915,1.034275,1.151725
"5d49d17b3dad1f0001e2aba1","first-total","easy",5,1.1895,0.5995,0.544875,0.709375,0.652375,0.551625,0.617125,0.77025,0.5945,0.544,0.56875,0.568375,0.63725,0.52875,0.4875,0.476,0.5305,0.494,0.515,0.5745,0.44425,0.467,0.3915,0.46125,0.66325,0.5495,0.56775,0.48975,0.54,0.522,0.6235,0.631,0.4725,0.436,0.4255,0.41275
"5d6ad36076cca6001a66d89e","first-total","easy",2,3.1521375,1.7395375,1.902025,1.650975,1.764875,1.7142875,1.4759125,1.8537625,1.5933,1.523075,1.4774,1.366925,1.40555,1.39265,1.59135,1.473625,1.404375,1.4855,1.6129,1.702875,1.615825,1.48035,1.51765,1.43585,1.600925,1.644225,1.689275,1.706275,1.505625,1.3906,1.479225,1.595075,1.510975,1.388675,1.35225,1.28575
