"participant","first","difficulty","set","1-total-reversed","2-total-reversed","3-total-reversed","4-total-reversed","5-total-reversed","6-total-reversed","7-total-reversed","8-total-reversed","9-total-reversed","10-total-reversed","11-total-reversed","12-total-reversed","1-partial-reversed","2-partial-reversed","3-partial-reversed","4-partial-reversed","5-partial-reversed","6-partial-reversed","7-partial-reversed","8-partial-reversed","9-partial-reversed","10-partial-reversed","11-partial-reversed","12-partial-reversed","1-partial-nonreversed","2-partial-nonreversed","3-partial-nonreversed","4-partial-nonreversed","5-partial-nonreversed","6-partial-nonreversed","7-partial-nonreversed","8-partial-nonreversed","9-partial-nonreversed","10-partial-nonreversed","11-partial-nonreversed","12-partial-nonreversed"
"56b8de29e1d0a200051517f8","first-partial","easy",4,0.698,0.5405,0.4915,0.543,0.556,0.541,0.665,0.6785,0.6175,0.523,0.496,0.42,0.896,0.971,0.6165,0.6235,0.47,0.489,1.0355,0.674,0.652,0.5885,0.5715,0.5355,0.7685,0.7705,0.579,0.5275,0.513,0.515,0.5145,0.773,0.629,0.6905,0.508,0.53
"57a78015454e5400015f57ec","first-partial","easy",2,1.2886,1.1782,1.23875,1.1642,1.16435,1.19,1.25655,1.2383,1.16115,1.25385,1.2497,1.33615,1.829,1.3484,1.18025,1.41225,1.34035,1.0073,1.10095,1.16485,1.0798,1.37475,1.08095,1.33735,1.6652,1.5141,1.25705,0.994,1.256,1.4862,1.3473,1.15585,1.365,1.37165,1.24575,1.3515
"59ae8d282a78fd00010b80e7","first-total","easy",7,0.6635,0.5065,0.4935,0.434,0.483,0.3995,0.4195,0.4345,0.484,0.497,0.508,0.4785,0.5755,0.522,0.4545,0.457,0.434,0.4365,0.499,0.4755,0.598,0.4735,0.566,0.476,0.599,0.5375,0.4335,0.5015,0.507,0.49,0.495,0.409,0.432,0.487,0.537,0.4645
"59ccd702faf42e00012b68f5","first-partial","easy",3,1.157,0.5545,0.526,0.4505,0.4825,0.444,0.6635,0.5735,0.523,0.5385,0.53,0.652,1.5415,0.994,0.633,0.48,0.569,0.4985,0.5395,0.5565,0.617,0.6035,0.537,0.479,1.2695,0.6825,0.599,0.4955,0.5775,0.712,0.6205,0.5615,0.4835,0.507,0.534,0.515
"5c3d5129a9bfb4000168e299","first-total","easy",1,0.8231,0.4929,0.61055,0.58325,0.6936,0.6404,0.7184,0.4521,0.53975,0.6044,0.76775,0.7561,1.2563,0.66385,0.6852,0.6132,0.52565,0.6089,0.75755,0.729,0.5494,0.62765,0.59345,0.55825,1.6253,0.6693,0.72905,0.6263,0.53095,0.59795,0.794,0.632,0.4043,0.528,0.69745,0.69505
"5c4d8d706b23ab0001a34af2","first-total","easy",8,0.9075,0.89585,0.76205,0.6211,0.68735,0.655,0.72905,0.66725,0.6799,0.6358,0.54535,0.61545,0.77595,0.66535,0.6113,0.5666,0.8038,0.66425,0.6346,0.67755,0.8107,0.663,0.64305,0.5139,0.74795,0.717,0.62745,0.5706,0.68355,0.4984,0.57525,0.6267,0.59325,0.5867,0.6115,0.5604
"5c4f5967aac8be0001716a65","first-partial","easy",4,0.9325,0.7526,0.6418,0.6359,0.6901,0.88795,1.2599,0.8157,0.87795,0.96425,0.8857,0.747,0.6979,0.76475,0.646,0.9486,1.00675,0.8868,0.991,1.10325,0.9986,1.01325,1.38505,1.1241,0.83845,0.8202,0.66325,0.7007,0.6284,0.86155,0.86205,0.75015,0.62195,0.8201,1.5954,0.7864
"5ce9b0e4be5a6b00163f6870","first-partial","easy",3,0.965,0.9555,0.90625,0.888,0.8641,0.82225,0.8549,0.83035,0.86405,0.8794,0.90525,0.73885,1.206,0.98005,0.89725,1.23055,1.03865,0.7213,0.93895,0.8721,1.0147,0.8896,0.91515,0.9643,1.1631,1.1148,0.898,1.19825,1.0645,1.14795,1.2058,1.40635,1.2223,1.0814,0.9803,1.15565
"5d49d17b3dad1f0001e2aba1","first-total","easy",5,0.598,0.5565,0.5155,0.6665,0.653,0.547,0.5635,0.769,0.577,0.551,0.554,0.5395,0.6655,0.491,0.5025,0.4905,0.497,0.5055,0.509,0.605,0.44,0.4605,0.397,0.4385,0.7095,0.5485,0.5205,0.4805,0.5545,0.519,0.6315,0.6175,0.462,0.4415,0.4255,0.411
"5d6ad36076cca6001a66d89e","first-total","easy",2,2.2356,1.5922,2.02385,1.68675,1.78475,1.73915,1.514,1.9238,1.7072,1.50025,1.4097,1.27135,1.32235,1.2989,1.4853,1.47555,1.31805,1.4868,1.7123,1.68845,1.70475,1.4722,1.46765,1.40855,1.6976,1.72695,1.6946,1.7004,1.4703,1.29195,1.474,1.6793,1.53875,1.3081,1.3588,1.2815
"5d8cb1c93a7d5c00196eae92","first-total","easy",4,1.5267,1.48535,1.1272,0.85855,0.71135,0.80205,0.87895,0.93235,1.5827,1.19415,0.71835,0.9282,0.7216,0.72685,0.65495,0.7282,0.622,0.70955,0.88565,0.81705,1.1517,0.778,0.7537,0.74055,0.83085,0.7935,0.6689,0.6281,0.7328,0.70515,0.7893,0.7539,1.0301,0.81975,0.71355,0.6934
"5d8cef3c28e183001a335ab0","first-partial","easy",8,0.5715,0.6286,0.67635,0.60955,0.5712,0.5724,0.70225,0.6936,0.65625,0.57175,0.58205,0.5162,0.93345,0.55355,0.499,0.64155,0.58515,0.59385,0.5273,0.5302,0.9019,0.69225,0.68475,0.555,0.7019,0.78185,0.72635,0.64705,0.75945,0.65795,0.75825,0.7309,0.6205,0.68095,0.6844,0.6419
"5e63e24eaf3bd51660031dbe","first-total","easy",5,0.96375,0.69285,0.53655,0.4655,0.45005,0.4782,0.64575,0.64015,0.51705,0.472,0.39845,0.43165,0.54775,0.46465,0.4226,0.4522,0.451,0.42505,0.6731,0.70535,0.6083,0.53245,0.4568,0.5207,0.73045,0.5169,0.48455,0.4041,0.3821,0.46625,0.6278,0.53985,0.47865,0.479,0.52675,0.48685
"5ee683596f9b570626faa11c","first-partial","easy",1,0.9871,1.0208,0.6605,0.8138,0.64875,0.59625,0.85535,0.612,0.56235,0.6623,0.62575,0.54705,1.08075,0.70625,0.6475,0.52055,0.97145,0.7948,0.72375,1.19765,0.8828,0.65925,0.84255,0.70915,0.9655,0.8829,0.4986,0.75345,0.94245,1.08345,0.9588,1.10455,1.4041,0.95465,0.894,0.8415
"5f0788c06b220f03231666a0","first-total","easy",7,0.6915,0.7945,0.646,0.6665,0.626,0.7325,0.7585,0.883,0.769,0.7545,0.734,0.7895,1.174,0.911,0.6905,0.674,0.5755,0.6575,0.7685,0.9085,0.8055,0.8235,0.675,0.777,1.0195,0.8385,0.8565,0.7375,0.5765,0.515,0.935,0.959,0.9625,0.571,0.7545,0.599
